municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh,km_label,km_trimmed_label,km_s_label,hc_label,hc_s_label,hc_n5_label,km_n4_label,km_n5_label
Warwick,616.0,92.0,32.1,674.0,2.0,59375.0,70168.0,2.8,7.0,482.0,71.6,91.1,0.4,0.0,4.8,1.0,0.0,0.0,2.7,0.0,93.3,6.7,792.0,100.5,54.8,98.7,0.3,1.4,1.3,0.0,0.5,2.0,21.0,7.0,70.0,0.529666667,0,2,0,0,2,4,0,0
Dudley,7317.0,93.7,32.0,9672.0,6.2,69071.0,91824.0,2.2,5.6,4173.0,93.6,67.2,2.9,7.5,11.8,7.5,1.6,1.5,0.0,0.0,67.8,32.2,11723.0,93.9,38.4,93.1,2.4,0.5,5.0,0.2,1.2,3.6,21.0,14.0,63.0,0.9954180990000001,0,2,1,0,0,4,0,0
Westminster,5620.0,95.7,40.4,6237.0,4.6,100972.0,118373.0,1.0,2.6,3080.0,93.2,91.4,1.8,0.7,3.8,0.6,1.8,0.0,0.0,0.0,90.9,9.1,7766.0,100.6,44.3,99.8,0.0,0.0,0.5,0.0,0.0,3.3,17.0,15.0,65.0,0.91888653,2,0,3,0,3,2,0,1
East Longmeadow,11436.0,93.9,42.6,13136.0,3.6,87748.0,109318.0,3.1,4.7,6251.0,95.3,87.1,0.8,2.0,1.5,2.1,1.5,5.1,0.0,0.0,82.6,17.4,16242.0,84.8,45.5,90.3,5.4,0.8,4.8,0.0,0.4,3.9,24.0,18.0,56.0,0.93721297,2,2,3,0,3,2,0,0
Monson,6490.0,93.0,27.1,7432.0,5.0,83008.0,96929.0,4.7,6.2,3724.0,94.7,81.1,1.6,5.8,4.3,3.0,0.9,0.3,3.1,0.0,82.4,17.6,8824.0,97.7,47.3,97.7,1.3,0.9,0.9,0.0,0.4,1.3,23.0,16.0,59.0,0.96387576,2,2,3,0,3,2,0,0
Dunstable,2297.0,97.4,54.8,2775.0,3.6,135909.0,161649.0,1.3,2.9,1192.0,98.8,99.1,0.0,0.4,0.5,0.0,0.0,0.0,0.0,0.0,94.8,5.2,3366.0,99.3,45.2,95.8,0.4,0.9,4.0,0.0,0.1,2.0,20.0,16.0,63.0,0.584837545,5,0,3,2,3,0,2,1
Heath,342.0,95.0,29.8,407.0,1.6,69375.0,82261.0,0.0,3.2,355.0,51.5,79.2,0.0,0.3,0.0,0.0,0.0,0.0,20.6,0.0,97.8,2.2,471.0,74.4,53.0,99.8,0.0,1.3,0.0,0.0,0.0,0.4,27.0,8.0,64.0,0.5392571429999999,0,2,0,0,2,4,0,0
Windsor,615.0,97.6,40.8,692.0,3.8,85417.0,109999.0,3.9,6.3,489.0,70.1,96.7,0.6,2.7,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,796.0,102.0,51.3,98.5,2.6,2.6,1.5,0.0,0.0,1.1,22.0,10.0,67.0,0.582871795,2,2,0,0,2,2,0,0
Douglas,6013.0,96.9,39.5,7139.0,3.7,99943.0,117784.0,2.2,3.5,3452.0,93.7,79.5,2.8,4.1,1.9,3.6,3.0,3.4,1.9,0.0,80.8,19.2,8859.0,107.9,44.1,97.7,0.5,0.6,2.1,0.0,0.3,5.7,15.0,19.0,64.0,1.075310559,2,0,3,0,3,2,0,1
Concord,13592.0,95.8,74.2,14994.0,2.8,152240.0,205520.0,1.1,3.6,7104.0,93.4,66.5,6.4,2.5,4.6,5.8,1.4,12.8,0.0,0.0,75.0,25.0,19121.0,105.2,45.8,85.3,4.8,0.8,8.6,0.0,3.3,7.2,36.0,11.0,53.0,1.484834779,3,4,3,2,3,0,2,4
Dighton,2707.0,96.4,31.5,3094.0,2.8,101216.0,114864.0,0.0,0.5,1529.0,93.7,79.7,0.0,15.7,2.3,0.0,0.0,0.0,2.3,0.0,89.9,10.1,3893.0,85.1,41.6,95.6,2.9,0.0,0.0,1.3,1.8,0.2,20.0,14.0,64.0,0.917041999,2,0,3,0,2,2,0,1
New Salem,712.0,96.3,44.4,784.0,4.9,65875.0,84928.0,2.1,5.4,448.0,88.8,98.4,0.0,0.7,0.0,0.0,0.0,0.0,0.9,0.0,87.2,12.8,931.0,117.5,53.9,96.5,0.5,4.9,0.9,0.0,1.9,0.4,24.0,11.0,64.0,0.9317803029999999,0,2,0,0,2,4,0,0
Sudbury,12565.0,98.9,80.5,14526.0,3.6,191310.0,235764.0,1.3,2.5,6494.0,98.3,87.9,5.7,0.8,1.6,0.6,0.7,2.6,0.0,0.0,91.6,8.4,19122.0,102.4,44.2,87.9,2.8,0.1,12.4,0.2,0.2,2.5,28.0,13.0,58.0,0.796048182,3,4,3,2,3,0,2,4
Holliston,10045.0,97.7,66.2,11532.0,3.9,135340.0,166861.0,0.8,2.1,5376.0,98.0,83.7,3.9,2.4,3.4,0.9,1.3,4.3,0.0,0.0,91.4,8.6,14724.0,92.7,42.2,92.2,2.3,0.3,6.8,0.0,0.6,3.9,26.0,12.0,60.0,1.039130435,5,0,3,2,3,0,2,1
Paxton,3139.0,96.1,56.3,4088.0,0.9,120469.0,137122.0,1.6,3.0,1589.0,94.3,93.5,2.2,2.6,0.0,0.0,0.0,1.6,0.0,0.0,95.4,4.6,4900.0,106.0,37.5,89.0,8.6,0.5,2.1,0.2,0.7,4.0,22.0,13.0,63.0,0.937452471,5,0,3,2,3,0,2,1
Chesterfield,478.0,91.2,27.6,500.0,3.6,67321.0,78846.0,2.6,7.4,353.0,77.1,89.0,3.1,4.5,0.0,0.8,1.1,0.0,1.4,0.0,87.9,12.1,585.0,101.0,54.1,97.8,0.7,0.7,0.0,1.5,0.0,1.7,27.0,11.0,61.0,0.9292891,0,2,0,0,2,4,0,0
Mansfield,16564.0,96.2,54.8,19147.0,5.2,120613.0,144648.0,1.7,3.2,9012.0,96.0,63.6,3.8,6.7,3.6,4.5,7.8,9.9,0.1,0.0,72.5,27.5,23947.0,98.9,39.3,90.9,2.6,0.4,6.9,0.1,0.4,4.1,23.0,14.0,62.0,1.046698873,5,0,3,2,0,0,2,1
Fairhaven,11690.0,89.5,25.5,13399.0,5.2,67394.0,85015.0,4.6,7.5,7181.0,89.0,72.4,3.9,10.4,5.2,1.9,0.7,5.4,0.0,0.0,75.6,24.4,16045.0,93.2,46.4,92.0,0.7,0.7,3.8,0.1,3.7,2.0,28.0,9.0,61.0,1.064296696,0,2,1,0,2,2,0,0
Natick,25398.0,97.1,68.7,28133.0,3.0,115446.0,149874.0,1.7,2.9,15162.0,95.2,57.9,4.2,7.3,3.4,7.6,7.8,11.3,0.4,0.0,68.9,31.1,35761.0,97.3,41.1,83.0,2.3,0.1,14.7,0.1,1.8,4.0,32.0,10.0,57.0,1.0198873640000001,5,0,5,2,0,0,2,1
Southwick,7172.0,92.4,35.8,8039.0,4.2,73776.0,97222.0,6.6,7.7,4059.0,93.7,80.4,6.2,3.7,2.0,0.8,4.4,2.5,0.0,0.0,81.3,18.7,9720.0,101.9,47.3,97.2,1.2,0.7,1.8,0.0,0.6,3.5,18.0,23.0,57.0,1.2252499829999999,0,2,3,0,2,4,0,0
Grafton,4940.0,95.4,52.6,5784.0,3.4,109670.0,135447.0,1.8,4.4,2526.0,99.1,69.8,9.5,1.9,4.1,8.1,3.3,3.3,0.0,0.0,79.4,20.6,7042.0,93.7,41.7,86.5,5.3,0.8,7.7,0.0,3.4,4.7,22.0,14.0,63.0,1.132556989,5,0,3,0,0,2,2,1
Wellfleet,2648.0,94.5,52.8,3096.0,3.0,75096.0,92526.0,1.1,10.1,4347.0,35.3,92.8,0.9,1.2,1.5,0.3,0.0,0.3,3.0,0.0,84.9,15.1,3515.0,76.6,56.2,93.6,4.5,0.6,3.8,0.0,1.0,1.3,40.0,8.0,51.0,0.530232699,0,2,0,0,2,4,0,0
Royalston,1100.0,94.0,19.7,1167.0,2.8,76250.0,83290.0,3.3,7.8,680.0,85.4,89.3,0.4,6.5,0.0,0.7,0.0,0.0,3.1,0.0,81.9,18.1,1377.0,108.6,50.7,99.3,0.0,0.0,1.1,0.0,0.0,0.0,16.0,12.0,71.0,1.0217066670000001,0,2,0,0,2,4,0,0
Cummington,682.0,97.5,39.3,761.0,3.0,58438.0,67642.0,4.1,9.7,525.0,85.3,87.2,0.0,4.0,5.5,2.5,0.0,0.0,0.8,0.0,78.1,21.9,933.0,89.2,50.1,99.5,0.0,0.3,1.4,0.0,0.0,1.5,26.0,7.0,65.0,0.856886447,0,2,0,0,2,4,0,0
Sutton,6641.0,96.7,41.1,7637.0,1.9,104710.0,130705.0,3.5,2.8,3584.0,95.3,87.1,5.6,2.3,2.5,1.6,0.9,0.0,0.0,0.0,90.1,9.9,9404.0,108.1,44.1,95.3,2.6,0.6,2.5,0.2,0.2,1.3,15.0,15.0,69.0,0.540333333,2,0,3,0,3,2,0,1
Plainville,6527.0,97.7,43.6,7448.0,5.8,96066.0,111207.0,3.0,4.5,3878.0,94.5,49.3,9.8,7.1,3.1,7.4,7.9,3.7,11.7,0.0,71.2,28.8,9183.0,95.7,42.0,89.6,4.8,0.3,4.6,0.0,1.4,4.5,20.0,14.0,65.0,1.049500238,2,0,1,0,0,2,0,1
West Boylston,6036.0,88.2,33.6,6656.0,3.1,90688.0,113380.0,5.3,9.3,2459.0,93.5,71.9,10.9,6.8,3.8,2.6,2.7,1.0,0.0,0.3,83.0,17.0,7693.0,142.2,42.2,90.1,6.7,1.2,2.2,0.3,1.6,12.4,20.0,13.0,66.0,0.8265201609999999,2,2,1,0,3,2,0,1
Holden,11042.0,97.5,58.8,12543.0,4.6,109529.0,130864.0,2.1,3.4,5928.0,97.6,85.5,4.3,1.2,1.7,1.4,4.0,1.7,0.0,0.1,89.2,10.8,15781.0,93.8,43.2,96.5,1.5,0.3,3.2,0.0,0.5,3.5,21.0,15.0,63.0,1.071614754,2,0,3,0,3,2,2,1
Lanesborough,1834.0,94.3,39.9,2004.0,8.1,67625.0,80318.0,2.6,8.1,1558.0,66.5,69.0,1.8,6.0,1.9,9.3,3.6,6.9,1.4,0.0,83.0,17.0,2488.0,102.6,51.2,97.3,2.3,0.3,0.2,0.0,0.7,0.8,26.0,10.0,62.0,0.7020773956,0,2,0,0,2,4,0,0
Harwich,7123.0,96.2,44.4,7953.0,6.2,78689.0,87331.0,4.8,5.8,6457.0,61.2,92.8,2.0,1.7,0.7,1.7,0.3,0.7,0.1,0.0,83.2,16.8,9116.0,88.3,55.3,93.6,4.2,0.9,0.9,0.1,2.2,2.1,25.0,16.0,59.0,0.971346327,0,2,0,0,2,2,0,0
Ashby,2380.0,93.1,33.2,2670.0,3.7,97958.0,108790.0,2.7,4.7,1246.0,93.7,95.4,0.5,2.5,0.9,0.2,0.0,0.0,0.5,0.0,92.3,7.7,3220.0,108.5,45.9,98.4,1.6,0.7,0.7,0.0,0.3,2.5,13.0,15.0,71.0,0.597782609,2,0,3,0,3,2,0,1
Montague,1721.0,96.6,35.0,1855.0,1.7,81042.0,85700.0,3.2,7.5,1023.0,95.2,68.5,5.6,12.6,5.3,3.8,0.0,1.0,3.2,0.0,69.0,31.0,2114.0,87.1,48.3,96.8,2.0,1.2,0.7,0.0,0.0,0.3,32.0,6.0,60.0,0.739923401,0,2,0,0,2,2,0,0
Rochester,3631.0,93.8,48.4,4232.0,5.1,103459.0,132136.0,2.2,3.4,1918.0,98.4,93.8,2.8,0.7,1.1,0.0,0.4,0.0,1.2,0.0,93.0,7.0,5407.0,119.4,44.5,97.5,0.6,0.0,0.9,0.0,1.2,0.6,18.0,16.0,65.0,1.410230415,2,0,3,0,3,2,0,1
Tewksbury,22551.0,95.3,38.6,25712.0,3.6,102934.0,117548.0,2.9,5.1,12025.0,97.2,70.3,10.5,1.1,1.9,2.9,4.9,8.4,0.0,0.0,85.2,14.8,30878.0,91.2,44.6,93.4,3.1,0.4,4.2,0.0,0.6,2.2,23.0,12.0,63.0,1.2764757359999999,2,0,3,0,0,2,0,1
Shrewsbury,25669.0,95.1,58.6,29574.0,3.8,105014.0,130786.0,2.9,3.9,14664.0,92.3,65.7,5.8,4.1,2.0,3.4,8.3,10.0,0.7,0.0,73.6,26.4,37086.0,96.2,41.9,76.3,4.4,0.4,20.5,0.1,1.8,4.6,25.0,14.0,60.0,0.901433925,5,0,5,0,0,2,0,1
Rockland,12698.0,94.8,33.7,14415.0,3.3,78011.0,95148.0,7.3,8.3,7474.0,93.1,51.1,12.1,6.7,4.9,6.7,2.9,8.3,7.4,0.0,75.0,25.0,17953.0,91.7,40.1,95.0,3.7,0.5,1.1,0.0,1.6,3.1,24.0,10.0,64.0,1.102320601,2,2,1,0,0,2,0,0
Colrain,1328.0,94.3,33.3,1505.0,4.1,62500.0,78745.0,6.5,11.5,1026.0,73.7,82.1,1.2,3.9,1.3,0.0,0.0,0.0,11.6,0.0,83.1,16.9,1779.0,96.8,52.8,99.6,0.9,0.2,0.4,0.0,0.0,1.6,24.0,9.0,65.0,0.561178295,0,2,0,0,2,4,0,0
Bedford,9613.0,96.8,71.8,10923.0,5.5,128354.0,165083.0,2.0,2.9,5508.0,96.4,63.1,11.5,4.1,2.4,3.0,4.6,11.2,0.0,0.0,73.9,26.1,14070.0,91.4,42.4,80.6,4.4,0.8,17.4,0.0,0.6,3.9,27.0,11.0,61.0,1.1747781720000001,5,0,5,2,0,0,2,1
Charlemont,1053.0,93.4,36.3,1177.0,5.0,64813.0,85230.0,5.3,10.3,717.0,76.3,83.8,3.2,4.0,6.8,0.0,0.0,0.0,2.1,0.0,85.7,14.3,1371.0,88.8,52.2,96.8,1.2,0.9,3.1,0.0,0.7,1.2,22.0,10.0,66.0,0.5178181820000001,0,2,0,0,2,4,0,0
Harvard,3318.0,97.4,77.6,3663.0,5.4,162619.0,204829.0,1.5,2.3,1669.0,97.3,90.0,3.2,2.1,1.6,0.0,0.0,3.1,0.0,0.0,94.5,5.5,4731.0,105.9,46.4,94.0,0.0,0.3,5.1,0.0,1.2,2.8,26.0,11.0,61.0,0.9642643759999999,3,4,3,2,3,0,2,4
Wendell,665.0,95.8,47.1,697.0,6.0,53750.0,73269.0,11.7,12.1,422.0,87.7,88.6,1.9,4.3,0.7,0.0,0.0,0.0,4.5,0.0,80.3,19.7,829.0,102.7,50.3,95.2,5.4,0.7,4.3,0.0,0.4,1.3,33.0,4.0,62.0,0.737170868,0,2,0,0,2,4,0,0
Lincoln,3690.0,98.9,80.2,4065.0,4.0,140125.0,209819.0,7.5,6.3,2266.0,95.7,65.1,10.5,0.4,8.3,4.2,0.6,11.0,0.0,0.0,74.8,25.2,4884.0,91.1,54.6,95.2,0.4,0.0,6.4,0.0,0.3,6.3,35.0,9.0,54.0,0.725297465,3,0,3,2,0,0,2,4
Otis,689.0,94.9,37.9,710.0,5.3,85417.0,103559.0,1.2,4.2,609.0,66.7,94.9,1.0,1.1,0.8,0.0,0.0,0.0,2.1,0.0,92.4,7.6,769.0,97.7,59.7,99.3,0.8,1.3,0.0,0.0,0.0,1.8,21.0,15.0,63.0,0.780075,2,2,0,0,2,2,0,0
South Hadley,11682.0,94.7,42.6,15553.0,4.8,69346.0,91161.0,6.5,9.6,6841.0,96.7,61.2,6.0,8.4,9.9,5.9,2.2,6.3,0.1,0.0,72.7,27.3,17703.0,64.2,39.1,92.7,3.4,1.1,5.6,0.0,1.5,6.4,30.0,11.0,57.0,0.684224615,0,2,1,0,0,2,0,0
Goshen,402.0,99.3,49.8,433.0,2.0,68750.0,80215.0,0.7,7.9,414.0,56.5,88.9,0.0,5.8,0.7,3.6,0.0,0.0,1.0,0.0,90.6,9.4,495.0,70.1,54.6,99.4,0.0,0.0,0.0,0.0,0.6,6.1,26.0,11.0,62.0,0.858965517,0,2,0,0,2,4,0,0
Littleton,7140.0,97.5,56.0,8091.0,4.5,123413.0,149990.0,3.3,4.8,3836.0,95.3,85.6,1.8,0.7,1.6,1.1,0.5,3.9,4.6,0.0,88.3,11.7,10071.0,96.7,44.7,92.4,1.6,0.7,7.5,0.0,0.7,1.3,23.0,12.0,64.0,0.8961261759999999,5,0,3,2,3,0,2,1
Wenham,2703.0,98.7,67.6,4516.0,2.2,128056.0,186444.0,0.4,2.1,1454.0,97.5,79.0,5.9,2.2,2.5,7.3,2.5,0.0,0.5,0.0,90.0,10.0,5240.0,76.1,28.3,93.4,3.0,0.0,3.9,0.1,0.7,5.4,20.0,19.0,60.0,1.069083396,5,0,3,2,3,0,2,1
Middleton,7066.0,91.4,39.3,8126.0,5.1,125204.0,166633.0,2.3,2.8,3153.0,95.1,65.4,17.8,1.0,1.6,3.3,0.0,10.0,0.8,0.0,88.4,11.6,9872.0,114.5,42.9,96.0,3.8,1.0,1.6,0.2,1.0,6.2,19.0,16.0,64.0,1.165939139,5,0,3,2,0,0,2,1
Wayland,9497.0,98.1,80.9,10851.0,1.4,185906.0,236931.0,2.3,2.9,5204.0,93.2,82.2,8.5,2.4,1.1,0.2,1.4,3.0,1.2,0.0,91.5,8.5,14088.0,99.8,44.0,87.3,1.5,0.1,13.7,0.2,0.5,5.0,29.0,10.0,60.0,0.795614776,3,4,3,2,3,0,2,4
Millis,5910.0,97.3,52.4,6582.0,2.2,106164.0,120195.0,0.5,1.5,3344.0,94.5,68.2,7.6,4.2,4.5,3.0,6.8,5.9,0.0,0.0,82.3,17.7,8233.0,94.2,45.4,93.7,2.3,0.0,1.8,0.0,2.5,2.3,24.0,14.0,60.0,0.754223827,2,0,3,0,3,2,0,1
Shutesbury,1102.0,97.7,67.2,1256.0,8.0,80625.0,90395.0,4.9,8.8,778.0,81.0,92.9,2.1,2.7,1.3,0.5,0.0,0.5,0.0,0.0,90.3,9.7,1478.0,87.1,47.3,96.5,1.6,3.4,3.7,0.1,2.0,3.9,45.0,4.0,50.0,0.574894118,0,2,0,0,2,2,0,0
Tyngsborough,8751.0,96.0,48.5,10346.0,4.3,113489.0,134415.0,3.4,4.7,4592.0,96.7,72.7,11.0,3.4,1.8,2.8,0.8,7.5,0.0,0.0,82.8,17.2,12443.0,98.8,42.7,90.2,0.9,0.1,10.7,0.0,0.6,4.5,20.0,13.0,66.0,1.2743839240000001,5,0,3,0,0,2,2,1
Monterey,675.0,93.8,55.1,736.0,1.7,80417.0,127090.0,0.0,5.1,880.0,45.1,94.9,0.7,1.9,0.6,1.9,0.0,0.0,0.0,0.0,86.4,13.6,836.0,92.6,56.8,98.0,0.4,0.2,0.4,0.0,1.3,0.8,41.0,10.0,48.0,0.533390591,2,2,0,0,2,2,0,0
North Andover,20149.0,95.9,59.7,24462.0,3.8,108070.0,149342.0,3.7,5.6,11756.0,94.5,53.0,10.6,6.3,5.3,5.4,8.7,10.5,0.2,0.0,71.4,28.6,30842.0,92.5,38.9,88.1,4.6,0.3,7.1,0.0,2.2,7.6,23.0,15.0,61.0,1.305835742,5,0,1,0,0,2,2,1
Wrentham,8187.0,97.3,51.4,9418.0,4.5,126613.0,149015.0,1.3,3.8,4347.0,98.0,81.1,5.7,2.9,3.6,2.6,2.4,1.7,0.0,0.0,84.9,15.1,11823.0,106.3,43.4,95.8,3.2,0.1,1.0,0.0,0.2,2.9,18.0,17.0,63.0,1.076647727,5,0,3,2,3,0,2,1
Sterling,5769.0,97.5,52.8,6621.0,3.3,121458.0,154804.0,1.1,2.8,2920.0,95.1,87.8,5.9,2.9,1.8,1.1,0.0,0.4,0.0,0.0,90.5,9.5,8091.0,91.2,46.8,97.7,1.7,0.0,0.6,0.0,1.1,5.1,17.0,18.0,64.0,0.941875,5,0,3,2,3,0,2,1
Williamsburg,1852.0,95.2,40.3,2110.0,2.3,82574.0,96934.0,4.3,7.8,1212.0,87.5,80.4,2.6,9.2,6.2,0.0,1.2,0.5,0.0,0.0,79.1,20.9,2443.0,103.8,47.8,100.0,0.0,0.0,0.0,0.0,0.0,1.1,40.0,6.0,53.0,0.9028169009999999,2,2,0,0,2,2,0,0
Medway,8985.0,95.7,59.0,10670.0,2.7,132823.0,156809.0,3.9,4.8,4946.0,95.7,81.6,3.3,4.5,3.5,3.5,0.2,3.5,0.0,0.0,89.9,10.1,13325.0,86.9,41.6,94.5,3.5,0.8,2.9,0.0,2.0,2.6,21.0,14.0,64.0,1.068928315,5,0,3,2,3,0,2,1
Buckland,108.0,95.4,36.1,108.0,8.7,60347.0,57239.0,23.5,15.0,79.0,77.2,83.5,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,113.0,130.6,60.4,100.0,15.0,15.0,15.0,0.0,0.0,0.0,29.0,6.0,64.0,0.54433871,0,2,4,0,2,4,0,0
Rowe,413.0,93.0,33.2,472.0,0.7,63750.0,74743.0,9.1,17.7,330.0,71.8,93.3,0.6,0.0,2.1,0.0,0.0,0.3,3.6,0.0,92.4,7.6,639.0,86.8,39.2,98.6,1.4,3.6,0.0,0.0,0.9,3.9,20.0,11.0,68.0,1.080930233,0,2,0,0,2,4,0,0
Pembroke,12856.0,96.4,38.8,15081.0,4.1,103905.0,120766.0,2.4,3.5,6799.0,96.5,80.9,5.5,3.8,0.6,3.4,2.2,3.1,0.5,0.0,84.8,15.2,18380.0,95.8,43.8,97.1,1.5,0.8,1.8,0.0,1.2,1.5,21.0,14.0,64.0,1.0772611840000001,2,0,3,0,3,2,0,1
Mashpee,10916.0,97.6,41.4,12243.0,3.7,77019.0,97509.0,2.3,4.2,10273.0,61.9,75.3,11.7,0.7,3.9,4.7,1.3,1.0,1.3,0.0,86.6,13.4,14148.0,86.0,52.7,88.1,4.8,5.7,2.8,0.2,1.3,0.6,23.0,15.0,60.0,0.940014648,2,2,0,0,2,2,0,0
Becket,1963.0,95.3,31.9,2088.0,5.0,75250.0,93418.0,3.3,6.4,2086.0,51.2,97.4,0.8,0.4,0.2,0.0,0.0,0.0,1.3,0.0,92.4,7.6,2443.0,105.1,52.2,95.9,3.8,1.2,0.3,0.0,1.9,3.3,28.0,13.0,59.0,0.352355256,0,2,0,0,2,4,0,0
Dalton,5296.0,94.6,35.1,5816.0,3.0,68915.0,88498.0,0.6,4.8,3220.0,95.9,67.5,0.6,15.4,8.9,1.6,2.9,1.9,1.2,0.0,75.8,24.2,6769.0,91.1,50.7,97.9,0.4,0.3,1.6,0.0,0.1,2.1,27.0,11.0,61.0,1.424027027,0,2,1,0,2,4,0,0
Hampden,3987.0,93.6,35.3,4453.0,7.6,91646.0,111109.0,0.4,2.6,2122.0,94.3,92.3,3.1,2.5,1.1,0.6,0.0,0.4,0.0,0.0,91.4,8.7,5178.0,99.5,51.5,97.2,0.2,0.6,1.0,0.0,1.8,3.7,16.0,19.0,63.0,0.53365,2,2,3,0,3,2,0,1
Plainfield,517.0,96.7,45.3,577.0,3.8,60000.0,86496.0,4.6,6.8,357.0,82.9,88.8,2.5,3.9,0.8,0.0,0.0,0.0,3.9,0.0,81.8,18.2,648.0,112.5,52.0,96.1,2.5,1.9,2.3,0.0,0.9,4.0,29.0,6.0,64.0,0.723526786,0,2,0,0,2,4,0,0
Ashland,12586.0,95.8,58.5,14126.0,2.2,124130.0,143589.0,2.4,3.9,7068.0,96.2,56.9,17.7,5.2,10.2,3.3,0.9,5.9,0.0,0.0,82.6,17.4,17710.0,94.5,42.0,84.4,3.1,0.9,11.8,0.0,1.9,7.0,27.0,10.0,62.0,0.786901195,5,0,3,2,0,0,2,1
Berkley,4723.0,95.1,35.7,5386.0,2.0,103182.0,116875.0,2.3,2.5,2459.0,96.9,95.0,3.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,96.9,3.1,6730.0,98.7,43.2,98.6,0.4,0.2,0.0,1.1,1.4,0.1,19.0,14.0,65.0,0.880431115,2,0,3,0,2,2,0,1
Lakeville,8207.0,95.3,39.0,9316.0,3.3,106633.0,125907.0,3.3,3.7,4483.0,91.3,87.0,1.7,1.8,2.4,1.4,0.5,4.2,1.0,0.0,84.8,15.2,11420.0,101.9,44.3,96.5,2.7,1.1,1.0,0.1,0.9,2.8,15.0,16.0,66.0,0.8539304809999999,2,0,3,0,3,2,0,1
Southampton,4479.0,94.5,41.6,5271.0,4.4,104577.0,120521.0,2.1,2.5,2406.0,100.0,89.1,2.0,1.5,0.6,4.5,0.0,2.2,0.0,0.0,90.9,9.1,6144.0,104.8,47.9,97.3,1.3,0.0,3.1,0.0,0.0,0.0,22.0,14.0,63.0,0.96742515,2,0,3,0,3,2,0,1
Hanover,9527.0,96.5,48.7,11138.0,4.1,127981.0,156549.0,1.9,3.0,5038.0,97.5,85.3,1.5,3.5,2.7,1.6,0.3,4.8,0.3,0.0,88.1,11.9,14459.0,94.2,41.9,97.7,1.7,0.0,0.4,0.0,0.9,0.6,20.0,15.0,64.0,1.1945620000000001,5,0,3,2,3,0,2,1
Swansea,12547.0,88.7,23.9,13913.0,4.7,86637.0,94207.0,1.8,4.7,6631.0,95.9,90.0,0.4,4.8,1.3,1.7,0.4,0.3,1.0,0.0,88.2,11.8,16567.0,105.1,45.8,98.2,0.2,0.4,1.8,0.0,0.9,0.5,26.0,12.0,60.0,0.8187192120000001,2,2,0,0,2,2,0,0
Canton,16712.0,96.1,55.1,18795.0,3.9,105919.0,136601.0,3.3,4.1,9422.0,96.2,62.6,5.8,4.0,2.5,10.2,7.4,7.4,0.2,0.0,76.4,23.6,23369.0,91.1,42.6,84.3,6.2,0.6,8.2,0.1,2.6,4.1,30.0,11.0,57.0,1.146101354,5,0,5,0,0,2,0,1
Middleborough,17930.0,95.4,26.2,20849.0,3.7,83631.0,107545.0,5.3,7.4,9924.0,93.4,67.4,5.7,6.2,5.1,3.9,4.3,1.8,5.7,0.0,80.3,19.7,24802.0,104.9,44.8,96.3,2.6,0.9,1.1,0.1,0.9,2.4,18.0,14.0,67.0,1.023377102,2,5,1,0,3,2,0,0
Wareham,7601.0,92.6,28.7,8456.0,4.5,63805.0,78138.0,8.2,11.7,5467.0,76.6,79.1,3.5,2.2,3.4,4.7,1.3,3.3,2.6,0.0,64.6,35.4,10608.0,88.4,43.5,89.0,8.4,3.1,1.3,0.8,5.2,4.1,23.0,12.0,63.0,0.8619206688000001,0,2,0,0,2,4,0,0
Hinsdale,1983.0,92.4,30.4,2199.0,3.7,63947.0,81095.0,9.8,11.2,1528.0,73.0,76.7,1.4,2.4,8.3,2.0,0.0,0.0,9.2,0.0,81.7,18.3,2567.0,102.3,51.1,99.4,0.5,0.6,0.3,0.2,1.3,1.6,24.0,10.0,65.0,0.832327273,0,2,0,0,2,4,0,0
Ludlow,15838.0,82.6,22.9,17791.0,4.5,73458.0,86546.0,6.4,8.7,8408.0,94.3,70.6,5.0,11.0,3.5,2.6,3.4,3.1,0.9,0.0,72.9,27.1,21291.0,105.2,44.1,94.9,2.1,0.3,2.4,0.0,3.0,8.6,31.0,13.0,54.0,0.918060675,0,2,1,0,2,2,0,0
North Attleborough,19312.0,92.4,40.6,21915.0,3.4,90558.0,113233.0,6.6,8.6,10885.0,96.3,54.9,4.0,4.1,13.5,4.8,7.6,8.7,2.5,0.0,65.8,34.2,27474.0,93.3,40.1,90.1,3.0,0.3,7.2,0.4,2.2,6.0,19.0,16.0,64.0,0.826082926,2,5,1,0,0,2,0,1
