municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh,km_label,km_trimmed_label,km_s_label,hc_label,hc_s_label,hc_n5_label,km_n4_label,km_n5_label
Pepperell,2014.0,94.7,28.8,2354.0,5.4,81675.0,94974.0,9.8,14.6,1192.0,91.2,50.0,10.1,7.1,12.7,5.6,4.1,9.7,0.7,0.0,58.0,42.0,2826.0,90.2,40.2,96.4,5.5,0.8,1.8,0.0,0.5,3.7,18.0,17.0,63.0,0.7084647890000001,2,2,1,0,0,2,0,0
Watertown,27845.0,95.0,65.9,30404.0,3.5,101103.0,124756.0,4.9,7.6,16570.0,94.3,23.5,9.0,32.6,10.1,3.1,3.0,18.6,0.0,0.0,51.8,48.2,35401.0,87.5,38.2,85.1,2.5,0.4,11.3,0.3,3.4,9.2,42.0,7.0,50.0,1.031868571,2,5,5,0,1,2,0,1
Beverly,28683.0,95.2,50.6,34999.0,3.4,80586.0,112540.0,6.0,9.3,17216.0,95.5,49.7,3.1,8.5,13.0,6.9,5.9,12.6,0.0,0.3,60.5,39.5,41885.0,87.1,40.4,94.5,3.7,0.4,2.8,0.3,1.1,5.1,27.0,10.0,61.0,1.2079207920000001,2,5,1,1,0,1,0,0
Saugus,21100.0,91.8,28.8,23897.0,5.0,88667.0,103270.0,7.1,9.8,11118.0,93.8,67.1,5.9,10.1,2.1,2.0,2.7,6.9,3.2,0.0,80.6,19.4,28215.0,96.0,47.1,92.4,2.5,0.4,4.9,0.0,1.5,8.6,27.0,10.0,61.0,1.278048641,2,5,1,0,2,2,0,1
Somerville,59890.0,90.6,64.4,72357.0,3.3,97328.0,117141.0,8.2,11.5,34633.0,94.7,10.3,4.1,28.9,27.1,9.2,5.1,15.4,0.0,0.1,33.6,66.4,80906.0,98.3,31.3,79.7,8.6,0.8,11.6,0.1,3.8,12.4,52.0,3.0,43.0,0.943046857,4,5,5,1,1,1,3,3
Ipswich,3424.0,95.3,47.1,3851.0,6.8,65893.0,89351.0,5.6,9.6,2225.0,94.9,37.8,10.7,14.0,22.4,10.9,2.6,0.4,1.2,0.0,57.1,42.9,4699.0,84.6,44.4,93.3,4.2,0.3,3.4,0.0,0.9,3.6,23.0,13.0,62.0,0.9020895859999999,0,2,1,0,0,4,0,0
Stoneham,17675.0,95.4,46.3,19556.0,3.1,101549.0,120525.0,2.6,5.0,9921.0,97.4,55.6,1.5,6.7,7.0,3.0,6.6,19.5,0.1,0.0,65.4,34.6,23223.0,100.3,43.8,91.2,3.5,0.3,5.0,0.1,1.1,3.3,29.0,10.0,59.0,1.166474627,2,0,5,0,0,2,0,1
New Bedford,63772.0,76.4,17.0,76157.0,6.4,46321.0,61328.0,15.8,20.3,42593.0,91.3,30.8,1.8,17.6,28.8,10.8,2.9,7.1,0.1,0.1,40.2,59.8,95239.0,93.1,36.6,67.1,10.2,0.8,2.0,0.2,25.8,20.8,43.0,7.0,49.0,1.040340716,4,3,2,1,1,1,3,3
Swampscott,10709.0,97.4,57.3,12108.0,3.3,113407.0,144767.0,1.8,3.1,6073.0,95.2,58.7,5.4,11.7,9.6,2.5,0.2,11.1,1.0,0.0,77.1,22.9,15002.0,84.8,44.8,95.7,2.9,0.2,2.6,0.0,0.8,2.5,31.0,10.0,58.0,1.120132265,5,0,3,0,0,2,2,1
Hudson,11285.0,89.9,40.4,12905.0,3.2,82431.0,100724.0,5.6,5.7,6434.0,96.6,49.3,5.6,10.8,10.6,6.2,6.9,7.4,3.2,0.0,68.9,31.1,15346.0,95.2,43.9,94.4,1.3,0.3,3.0,0.0,1.4,7.0,24.0,11.0,64.0,0.96455132,2,2,1,0,0,2,0,0
Milton,17820.0,94.7,61.0,21486.0,3.6,133718.0,172407.0,3.5,4.7,9316.0,95.3,73.5,3.6,10.9,2.2,0.8,1.7,7.2,0.0,0.0,84.3,15.7,27572.0,88.7,39.5,75.7,17.2,1.0,7.9,0.5,1.7,3.2,41.0,8.0,50.0,1.043014387,5,0,5,2,0,0,2,1
Lexington,22787.0,98.4,84.7,25723.0,3.6,186201.0,231819.0,2.0,3.2,12154.0,97.2,76.6,6.5,2.5,2.4,1.7,3.7,6.6,0.0,0.0,81.7,18.3,33340.0,93.9,45.7,67.1,2.6,0.5,32.6,0.2,1.1,2.1,37.0,7.0,55.0,1.1054998740000002,3,4,5,2,3,0,2,4
Fitchburg,26208.0,85.1,21.0,32434.0,8.3,57207.0,70654.0,11.3,15.7,16575.0,90.3,42.4,6.1,13.9,17.9,6.0,2.7,10.1,0.8,0.0,53.5,46.5,40702.0,99.7,35.5,84.4,7.4,1.4,2.9,0.4,8.6,28.8,30.0,10.0,58.0,1.116242963,0,5,2,1,0,1,0,0
Belchertown,2017.0,93.2,40.5,2328.0,4.4,78578.0,96836.0,3.7,9.3,1224.0,92.9,59.9,7.0,6.8,8.5,6.6,11.2,0.0,0.0,0.0,68.4,31.6,2874.0,99.0,42.0,92.9,1.5,0.0,9.2,0.0,0.0,5.2,26.0,13.0,59.0,1.022689769,2,2,1,0,0,2,0,0
Adams,4130.0,89.3,22.9,4560.0,5.3,48252.0,62772.0,13.2,14.4,3086.0,85.2,45.7,2.4,18.0,12.2,9.6,3.3,8.6,0.3,0.0,54.0,46.0,5335.0,109.5,43.5,97.7,2.3,0.0,0.9,0.0,0.8,1.6,31.0,8.0,59.0,0.412771084,0,2,1,0,0,4,0,0
Newburyport,13474.0,96.9,62.4,14814.0,3.5,109839.0,145502.0,4.5,5.9,8655.0,90.5,50.9,13.0,9.5,6.9,7.6,2.6,8.8,0.7,0.0,77.2,22.8,18077.0,83.6,48.9,95.7,3.0,0.1,2.5,0.1,0.3,2.8,30.0,12.0,57.0,0.956989247,5,0,1,0,0,2,2,1
Malden,43469.0,87.2,39.0,50043.0,5.0,65975.0,85003.0,12.0,15.5,24406.0,94.3,24.9,6.3,22.1,11.5,4.0,5.1,25.7,0.5,0.0,41.0,59.0,60984.0,91.8,34.6,55.7,20.0,0.6,23.8,0.2,3.1,8.5,42.0,5.0,52.0,0.9188888890000001,4,5,5,1,1,1,3,3
Marshfield,3398.0,98.1,53.2,3658.0,5.2,88452.0,105969.0,5.5,8.2,1996.0,95.8,69.8,4.0,0.4,7.0,10.5,6.7,1.7,0.0,0.0,67.3,32.7,4928.0,92.2,41.5,98.7,0.2,0.1,0.7,0.0,1.8,3.5,23.0,14.0,62.0,0.90819568,2,2,1,0,0,2,0,0
Falmouth,3091.0,89.9,44.7,3290.0,2.0,41343.0,85066.0,8.0,8.4,3073.0,65.4,60.5,7.0,5.2,10.8,5.6,1.3,9.6,0.0,0.0,55.2,44.8,3540.0,81.1,62.2,90.4,3.4,2.0,3.0,0.2,4.1,3.1,27.0,12.0,60.0,0.686170952,0,2,0,0,2,4,0,0
Westfield,27397.0,89.5,32.2,35052.0,4.3,67862.0,86684.0,5.1,7.2,16061.0,95.1,59.0,1.9,12.4,7.9,5.6,1.9,8.5,3.0,0.0,67.1,32.9,41449.0,92.6,39.6,93.5,2.3,0.3,3.1,0.3,1.8,9.5,23.0,18.0,57.0,0.8446197809999999,0,5,1,1,0,1,0,0
Peabody,39396.0,90.1,34.0,44911.0,4.0,73217.0,94587.0,6.7,8.6,22538.0,96.3,51.1,4.8,7.2,9.6,4.4,5.5,14.5,2.7,0.1,65.8,34.2,52906.0,92.1,45.8,92.6,5.0,0.6,1.5,0.0,3.1,9.9,28.0,10.0,61.0,1.4232799999999999,4,5,1,1,0,1,3,3
Kingston,4261.0,97.3,39.7,4936.0,2.5,90754.0,110433.0,1.2,3.0,2748.0,88.8,67.9,5.2,6.5,10.2,5.5,3.6,0.5,0.7,0.0,70.2,29.8,6278.0,99.4,41.9,99.1,2.4,0.0,0.0,0.0,0.9,5.3,20.0,15.0,63.0,1.0913432840000001,2,2,3,0,3,2,0,1
Amesbury,12633.0,94.2,41.1,14452.0,3.6,82468.0,100890.0,3.6,6.3,7549.0,95.6,52.7,9.5,7.0,7.5,4.9,5.9,12.5,0.0,0.0,70.2,29.8,17434.0,95.1,43.9,98.1,1.5,0.6,2.0,0.0,0.1,2.5,26.0,12.0,60.0,1.116504248,2,2,1,0,0,2,0,0
Boston,473775.0,87.2,49.7,586859.0,6.6,71115.0,107608.0,14.1,18.9,294418.0,91.5,11.9,6.3,13.4,24.2,11.0,7.7,25.3,0.1,0.0,35.0,65.0,684379.0,92.3,32.2,57.4,28.9,0.9,10.7,0.2,7.4,19.8,51.0,6.0,42.0,0.866011538,1,1,2,3,1,3,1,2
Scituate,4237.0,93.9,45.2,4588.0,2.1,140419.0,156175.0,3.1,4.7,2326.0,95.1,78.8,5.5,2.7,5.1,4.7,1.7,1.6,0.0,0.0,81.1,18.9,5558.0,80.0,51.2,97.4,0.3,0.0,0.0,0.0,3.7,0.7,24.0,15.0,59.0,1.233839236,5,0,3,2,3,0,2,4
Williamstown,1581.0,94.1,69.4,4119.0,4.6,82917.0,106611.0,5.6,10.7,1446.0,73.1,53.4,2.5,8.7,17.6,11.3,1.9,2.8,1.8,0.0,62.8,37.2,4506.0,81.5,21.4,82.5,6.7,0.5,11.5,0.1,3.5,9.1,48.0,6.0,46.0,0.71908896,2,2,5,0,1,2,0,0
Wilmington,16386.0,95.3,43.5,19005.0,3.2,125922.0,143076.0,2.2,2.9,8073.0,98.6,85.1,3.5,0.9,2.0,0.9,4.6,3.0,0.1,0.0,85.8,14.2,23377.0,97.1,42.1,89.0,4.2,0.3,7.0,0.1,1.2,1.0,22.0,12.0,65.0,1.294501905,5,0,3,2,0,0,2,1
Blandford,224.0,91.5,31.7,253.0,3.4,87500.0,98521.0,0.0,2.2,184.0,70.7,92.9,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,92.3,7.7,278.0,137.6,54.7,98.6,0.0,1.4,0.0,0.0,0.0,0.0,15.0,20.0,63.0,0.34183333299999996,2,2,0,0,3,2,0,0
Ayer,2202.0,93.1,47.9,2313.0,3.7,74659.0,85379.0,2.9,10.3,1437.0,98.9,38.1,4.2,15.2,19.4,13.2,2.6,7.2,0.0,0.0,45.5,54.5,2910.0,92.3,43.2,92.2,6.9,3.0,2.7,0.0,0.0,7.4,23.0,12.0,63.0,0.9243939390000001,0,2,1,0,0,4,0,0
Wilbraham,2434.0,92.2,50.6,2737.0,1.0,111100.0,138448.0,0.0,3.5,1244.0,95.5,82.7,7.6,0.0,5.6,2.7,1.3,0.0,0.0,0.0,90.2,9.8,3466.0,95.3,46.7,97.8,1.5,0.0,0.9,0.0,0.4,6.8,25.0,19.0,55.0,0.660223565,5,0,3,0,3,2,2,1
Taunton,39811.0,84.6,22.6,45772.0,6.5,62865.0,80085.0,10.8,14.2,23922.0,93.5,45.7,5.9,14.3,14.5,5.9,4.0,5.9,3.7,0.1,62.4,37.6,57124.0,91.3,39.6,83.5,11.1,0.7,2.3,0.2,6.5,9.0,29.0,9.0,60.0,0.961958035,4,5,1,1,0,1,3,3
North Brookfield,1739.0,92.4,26.6,2094.0,3.6,73393.0,81047.0,1.7,5.2,1127.0,85.6,51.4,7.4,7.1,17.3,13.7,2.3,0.9,0.0,0.0,58.5,41.5,2466.0,78.1,36.9,97.8,2.0,0.0,1.6,0.0,0.0,2.1,18.0,14.0,66.0,0.690712353,0,2,1,0,0,4,0,0
