municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%,dem%,rep%,un%,total_waste/hh
Stoneham,17675,95.4,46.3,19556,3.1,101549,120525,2.6,5,9921,97.4,55.6,1.5,6.7,7,3,6.6,19.5,0.1,0,65.4,34.6,23223,100.3,43.8,91.2,3.5,0.3,5,0.1,1.1,3.3,29,10,59,1.166474627
New Bedford,63772,76.4,17,76157,6.4,46321,61328,15.8,20.3,42593,91.3,30.8,1.8,17.6,28.8,10.8,2.9,7.1,0.1,0.1,40.2,59.8,95239,93.1,36.6,67.1,10.2,0.8,2,0.2,25.8,20.8,43,7,49,1.040340716
Swampscott,10709,97.4,57.3,12108,3.3,113407,144767,1.8,3.1,6073,95.2,58.7,5.4,11.7,9.6,2.5,0.2,11.1,1,0,77.1,22.9,15002,84.8,44.8,95.7,2.9,0.2,2.6,0,0.8,2.5,31,10,58,1.120132265
Hudson,11285,89.9,40.4,12905,3.2,82431,100724,5.6,5.7,6434,96.6,49.3,5.6,10.8,10.6,6.2,6.9,7.4,3.2,0,68.9,31.1,15346,95.2,43.9,94.4,1.3,0.3,3,0,1.4,7,24,11,64,0.96455132
Milton,17820,94.7,61,21486,3.6,133718,172407,3.5,4.7,9316,95.3,73.5,3.6,10.9,2.2,0.8,1.7,7.2,0,0,84.3,15.7,27572,88.7,39.5,75.7,17.2,1,7.9,0.5,1.7,3.2,41,8,50,1.043014387
Lexington,22787,98.4,84.7,25723,3.6,186201,231819,2,3.2,12154,97.2,76.6,6.5,2.5,2.4,1.7,3.7,6.6,0,0,81.7,18.3,33340,93.9,45.7,67.1,2.6,0.5,32.6,0.2,1.1,2.1,37,7,55,1.105499874
Fitchburg,26208,85.1,21,32434,8.3,57207,70654,11.3,15.7,16575,90.3,42.4,6.1,13.9,17.9,6,2.7,10.1,0.8,0,53.5,46.5,40702,99.7,35.5,84.4,7.4,1.4,2.9,0.4,8.6,28.8,30,10,58,1.116242963
Belchertown,2017,93.2,40.5,2328,4.4,78578,96836,3.7,9.3,1224,92.9,59.9,7,6.8,8.5,6.6,11.2,0,0,0,68.4,31.6,2874,99,42,92.9,1.5,0,9.2,0,0,5.2,26,13,59,1.022689769
Adams,4130,89.3,22.9,4560,5.3,48252,62772,13.2,14.4,3086,85.2,45.7,2.4,18,12.2,9.6,3.3,8.6,0.3,0,54,46,5335,109.5,43.5,97.7,2.3,0,0.9,0,0.8,1.6,31,8,59,0.412771084
Newburyport,13474,96.9,62.4,14814,3.5,109839,145502,4.5,5.9,8655,90.5,50.9,13,9.5,6.9,7.6,2.6,8.8,0.7,0,77.2,22.8,18077,83.6,48.9,95.7,3,0.1,2.5,0.1,0.3,2.8,30,12,57,0.956989247
Malden,43469,87.2,39,50043,5,65975,85003,12,15.5,24406,94.3,24.9,6.3,22.1,11.5,4,5.1,25.7,0.5,0,41,59,60984,91.8,34.6,55.7,20,0.6,23.8,0.2,3.1,8.5,42,5,52,0.918888889
Marshfield,3398,98.1,53.2,3658,5.2,88452,105969,5.5,8.2,1996,95.8,69.8,4,0.4,7,10.5,6.7,1.7,0,0,67.3,32.7,4928,92.2,41.5,98.7,0.2,0.1,0.7,0,1.8,3.5,23,14,62,0.90819568
Falmouth,3091,89.9,44.7,3290,2,41343,85066,8,8.4,3073,65.4,60.5,7,5.2,10.8,5.6,1.3,9.6,0,0,55.2,44.8,3540,81.1,62.2,90.4,3.4,2,3,0.2,4.1,3.1,27,12,60,0.686170952
Westfield,27397,89.5,32.2,35052,4.3,67862,86684,5.1,7.2,16061,95.1,59,1.9,12.4,7.9,5.6,1.9,8.5,3,0,67.1,32.9,41449,92.6,39.6,93.5,2.3,0.3,3.1,0.3,1.8,9.5,23,18,57,0.844619781
Peabody,39396,90.1,34,44911,4,73217,94587,6.7,8.6,22538,96.3,51.1,4.8,7.2,9.6,4.4,5.5,14.5,2.7,0.1,65.8,34.2,52906,92.1,45.8,92.6,5,0.6,1.5,0,3.1,9.9,28,10,61,1.42328
Kingston,4261,97.3,39.7,4936,2.5,90754,110433,1.2,3,2748,88.8,67.9,5.2,6.5,10.2,5.5,3.6,0.5,0.7,0,70.2,29.8,6278,99.4,41.9,99.1,2.4,0,0,0,0.9,5.3,20,15,63,1.091343284
Amesbury,12633,94.2,41.1,14452,3.6,82468,100890,3.6,6.3,7549,95.6,52.7,9.5,7,7.5,4.9,5.9,12.5,0,0,70.2,29.8,17434,95.1,43.9,98.1,1.5,0.6,2,0,0.1,2.5,26,12,60,1.116504248
Boston,473775,87.2,49.7,586859,6.6,71115,107608,14.1,18.9,294418,91.5,11.9,6.3,13.4,24.2,11,7.7,25.3,0.1,0,35,65,684379,92.3,32.2,57.4,28.9,0.9,10.7,0.2,7.4,19.8,51,6,42,0.866011538
Scituate,4237,93.9,45.2,4588,2.1,140419,156175,3.1,4.7,2326,95.1,78.8,5.5,2.7,5.1,4.7,1.7,1.6,0,0,81.1,18.9,5558,80,51.2,97.4,0.3,0,0,0,3.7,0.7,24,15,59,1.233839236
Williamstown,1581,94.1,69.4,4119,4.6,82917,106611,5.6,10.7,1446,73.1,53.4,2.5,8.7,17.6,11.3,1.9,2.8,1.8,0,62.8,37.2,4506,81.5,21.4,82.5,6.7,0.5,11.5,0.1,3.5,9.1,48,6,46,0.71908896
Wilmington,16386,95.3,43.5,19005,3.2,125922,143076,2.2,2.9,8073,98.6,85.1,3.5,0.9,2,0.9,4.6,3,0.1,0,85.8,14.2,23377,97.1,42.1,89,4.2,0.3,7,0.1,1.2,1,22,12,65,1.294501905
Blandford,224,91.5,31.7,253,3.4,87500,98521,0,2.2,184,70.7,92.9,0,7.1,0,0,0,0,0,0,92.3,7.7,278,137.6,54.7,98.6,0,1.4,0,0,0,0,15,20,63,0.341833333
Ayer,2202,93.1,47.9,2313,3.7,74659,85379,2.9,10.3,1437,98.9,38.1,4.2,15.2,19.4,13.2,2.6,7.2,0,0,45.5,54.5,2910,92.3,43.2,92.2,6.9,3,2.7,0,0,7.4,23,12,63,0.924393939
Wilbraham,2434,92.2,50.6,2737,1,111100,138448,0,3.5,1244,95.5,82.7,7.6,0,5.6,2.7,1.3,0,0,0,90.2,9.8,3466,95.3,46.7,97.8,1.5,0,0.9,0,0.4,6.8,25,19,55,0.660223565
Taunton,39811,84.6,22.6,45772,6.5,62865,80085,10.8,14.2,23922,93.5,45.7,5.9,14.3,14.5,5.9,4,5.9,3.7,0.1,62.4,37.6,57124,91.3,39.6,83.5,11.1,0.7,2.3,0.2,6.5,9,29,9,60,0.961958035
North Brookfield,1739,92.4,26.6,2094,3.6,73393,81047,1.7,5.2,1127,85.6,51.4,7.4,7.1,17.3,13.7,2.3,0.9,0,0,58.5,41.5,2466,78.1,36.9,97.8,2,0,1.6,0,0,2.1,18,14,66,0.690712353
Fall River,62973,74.6,15.4,72650,8.4,43503,57807,17.3,19.7,42689,90.1,23.3,1.5,11.9,33.5,16.5,4.7,8.5,0.1,0.1,36.3,63.7,89388,94.3,39.6,84.6,8.3,2.1,2.1,0.1,7.5,10.5,44,8,46,1.037139636
Brewster,1434,100,54,1531,4.4,53517,84459,7.3,8.3,2244,36.3,84.6,7.5,0.5,4.9,1.9,0,0.6,0,0,89.3,10.7,1637,88.2,63.4,95.7,4.3,0,3.3,0,0,0.3,26,14,58,0.710638359
Burlington,19843,95.7,56.9,22564,2.8,118721,139198,2.7,3.8,10674,93.7,65.2,4.1,0.7,0.7,6,7.1,15.8,0.3,0,73.6,26.4,27650,91.3,41.1,77.2,5.4,0.4,19.7,0.4,0.9,3.1,27,11,62,1.096693721
Salem,30531,91.2,43,37147,4,68808,87095,11,14.7,19631,93.9,28.9,7.7,15.9,20.5,8.5,4.6,13.6,0,0.3,51.5,48.5,43252,83,37.1,82.4,8.7,1,3.5,0.5,8.2,17.8,37,7,54,0.95412471
Winchester,15116,98.6,77.3,16960,2,169623,227899,1.5,2.3,8125,97,72.5,8.6,6.7,1.8,1.6,2,6.5,0.3,0,86.4,13.6,22738,94.7,42.8,83.5,0.8,0.5,16.5,0.3,1.7,2.1,29,12,59,1.37745766
Rockport,4242,97.9,58.1,4640,3.7,81765,112663,5.4,5.8,3094,77.6,63.4,6.4,12.9,10.4,5.6,0.7,0.5,0,0,68.9,31.1,5260,73.4,56.7,99.5,0.1,0.2,1.1,0,0.4,1,26,9,63,0.980047619
Waltham,42824,92,54.2,55065,3,95964,115461,5.3,9.3,25136,94.2,35.8,5.6,13.4,14.2,10,8.7,12.1,0.3,0,51.7,48.3,62777,95.4,34.3,75.5,8.8,1,12.9,0.1,5.6,13.6,34,8,57,1.394776213
Hingham,4160,98.4,76.9,4897,3.8,161607,261675,0,2.8,2234,99.6,84.2,2.8,4.2,4.3,0,0,4.5,0,0,85.7,14.3,6461,83.4,43.1,99,0.7,0,0.3,0,0,0.5,23,16,59,1.104630001
Danvers,20248,93.7,43.2,23031,3.7,89250,110199,5,7.1,11128,96.1,57.9,5.9,6.9,5.1,7.9,3.7,11.6,1,0.1,71.3,28.7,27586,84,44.6,93.9,3.4,0.8,3.6,0.1,1.1,5.1,21,12,65,1.104622434
Andover,5897,96.6,70,7595,1.4,95600,137230,6.3,9.5,3606,96.3,55.6,4.6,3.7,7.8,7.9,4.9,15.5,0,0,72,28,8914,87.3,42.8,89.3,3,0.2,9.5,0.6,0.1,2.5,25,14,61,1.432870329
Townsend,886,92.4,21.3,1007,3.1,72500,83552,0,5.8,572,95.5,70.6,2.1,0,5.6,3.1,0,18.5,0,0,71.2,28.8,1310,85.3,39.3,95.4,1.6,0,2.9,0,0.1,6.5,15,16,67,0.850333333
Bourne,1145,100,53,1189,4.7,51595,71079,4.5,7.2,1181,66.1,84.2,2.5,1.2,2.5,1.1,6.5,2,0,0,78.1,21.9,1408,71.7,63.2,100,0,0,0,0,0,1,20,15,63,1.706473264
Duxbury,1138,97.5,78.6,1356,9.6,147404,216127,3.4,4,715,87.8,89.7,2.5,2.5,0,5.3,0,0,0,0,89.8,10.2,1567,100.1,53.2,98.5,0,0,1.5,0,0,1.1,19,20,60,0.793514722
Marblehead,14715,98.6,71.3,16510,4.9,123333,172829,2.7,4.4,8716,93.2,69.5,5,8.3,10.8,4.3,1,1.1,0,0,77.8,22.2,20500,88.9,47.9,96.5,1.7,0,2.2,0,0.5,5,27,14,58,0.8559275
Lawrence,49650,67,10.8,61396,9.3,44613,59685,19,21.4,27681,93.8,20.1,7.3,14.7,30.4,7.8,5,14.5,0.1,0.1,31,69,79942,95.8,32.3,55.2,7.6,0.5,1.9,0.3,37.6,80.6,53,5,41,1.587434977
Maynard,7815,96.5,51.1,8671,1.2,105254,127380,3.1,3.8,4667,91.3,58,9.1,10.4,4.1,8.7,6.9,2.9,0,0,78.8,21.2,10754,95.2,41.7,93.8,2.2,0.4,1.9,0,3.4,3.4,31,10,58,1.157124577
Upton,1806,97.7,50.7,1927,4.9,89507,120387,0,2.6,1053,91.1,58.7,6.1,15.2,8.6,5.6,0,5.8,0,0,63.5,36.5,2292,137,47.9,97.9,2.4,0,0,0,0.7,7.9,18,15,65,0.938342445
Revere,38991,84,22.9,43947,5.4,62568,81075,10.2,12.7,20559,93.5,28.8,5.5,25.6,12.4,4.1,2.5,20.1,1,0,49.9,50.1,53692,101.3,39.2,83.1,9,0.9,5.4,0.1,7,33.6,42,7,50,1.014210346
Medford,41431,92.9,53.8,49853,2.8,96455,120481,3.8,8.8,24108,95.1,32.5,8.3,27.8,8.5,2.8,2.6,17.3,0.2,0,56.2,43.8,57637,96.1,35.3,79,11.4,0.7,11.8,0.1,1.7,6.5,42,6,51,1.061774359
Marlborough,28395,92,39,32508,4,80943,102739,4,5.6,16986,92.6,47.4,6.4,8.2,5.8,5.2,10.9,13.3,2.9,0,58.2,41.8,39736,94,39.8,78.8,5.9,0.6,6,0.1,13,15.1,29,11,59,1.060166667
Brookfield,534,92.3,22.8,598,0,64063,74117,9.4,6.2,320,100,62.5,2.8,13.1,21.6,0,0,0,0,0,61.9,38.1,690,115.6,34.3,94.5,1.4,0,7.5,0,0,0,18,14,67,1.075172414
Holyoke,26855,79.4,21.5,31987,6,40769,59685,25.4,29.3,16981,90,32.9,4,14.4,11.1,16.7,9.7,11.1,0.1,0,40.7,59.3,40241,94,35.2,89.7,6.3,0.8,1.1,0.1,5,53.9,41,8,50,0.956486432
Weymouth,41855,93.8,39.2,47753,5.8,84942,100858,4.3,6,24570,96.6,57.1,4.7,6,3,3.8,5.5,19.5,0.4,0,67,33,56734,90.4,42.4,85.7,6.3,0.3,7.5,0.2,1.8,3.8,29,10,60,1.173808767
Brookline,40345,97.4,83.5,49161,2.8,117326,171664,6.3,12.3,25963,94.1,18.4,5.4,7.7,14,15.4,6.7,32.3,0,0.1,48.9,51.1,59180,88.9,33.7,76.3,4.7,1,20.8,0.2,2.6,6.8,48,6,46,0.979263711
Warren,435,100,16.3,435,19.5,21000,37634,0,17.1,396,75.3,41.7,0,22.5,16.9,6.3,6.3,6.3,0,0,50.7,49.3,510,78.9,42,100,0,0,0,0,0,0,19,14,66,1.114723183
Orange,2748,92.2,16.1,3137,8.6,57547,67055,4.8,9.4,1706,90.9,57.9,0.6,20.7,12.3,5.9,0.9,0,1.6,0,68.5,31.5,3772,92.6,43.1,97.1,0.8,0.8,3.4,0,0,3,19,11,67,0.828815903
Boxford,1668,98.5,61,1972,6.5,192417,237254,0,0,795,100,97.1,0,2.9,0,0,0,0,0,0,100,0,2585,99,46.7,96.5,2.7,2.7,3.9,0,0,1.5,16,20,63,1.061267292
Petersham,202,98,45.5,238,0,66458,115142,0,4.3,120,84.2,86.7,0,2.5,10.8,0,0,0,0,0,76.2,23.8,259,89.1,51.4,98.8,5,0,0,0,0,8.5,23,12,63,1.010719178
Lynnfield,8690,96.7,55.1,9987,5.2,128641,175613,1.9,2,4879,94.1,79.9,3.6,1.3,1.5,0.8,1,12,0,0,85.1,14.9,12894,93.1,43.6,93.7,2.4,0.4,5.3,0,0.2,2.4,19,18,62,1.317186207
West Springfield,20231,89.6,33.7,23432,5.6,53053,76180,7.5,11.3,12903,97.7,52.4,3.3,9.7,10,6.3,2.9,13.8,1.7,0,58.8,41.2,28609,95.3,41,89.8,4.5,0.9,5,0.7,2.7,10.6,27,14,57,1.054472912
Springfield,95914,78.6,18.5,120093,8.2,39432,55658,22.1,26.9,62042,90.8,43,3.8,20.4,9.9,9.1,2.7,10.1,0.9,0.1,46.6,53.4,154139,91.7,33.4,66.7,24.3,1.1,3.3,0.2,9.1,45,48,8,43,1.17470175
Milford,17913,86.9,34.3,20407,5.3,80371,92640,8.5,11.1,10489,95.2,53.9,11.2,10.8,8.3,4.7,6.7,4.1,0.4,0,66.4,33.6,26084,97.5,38.2,83,2.9,0.7,2.9,0,13.2,15.5,27,11,61,1.437111111
Lynn,61187,76.2,18.5,73057,5.9,56181,71597,13.1,16.6,33989,95.9,33.4,3.8,15.8,18.3,5.1,5.8,17.8,0.1,0,44.9,55.1,93743,101.5,34.5,54,18.2,1.1,8.3,0.3,25.3,42.8,44,6,49,1.242554815
Woburn,29255,94.3,45.4,33526,3,91022,108751,4.4,6.3,16872,94.4,51.7,7.2,9,6.5,4.7,6.3,14.4,0.1,0,61.3,38.7,40304,102.3,40,81.6,7.4,0.4,9.8,0.4,3.5,4.6,31,10,57,1.373700178
Worcester,121514,84.7,30.2,154224,5.6,48139,68613,14.6,20,78438,91.3,31.7,5.7,9.6,24,8.3,5.8,14.7,0.2,0,41.3,58.7,185143,96.3,34.7,72.6,15.6,1.2,8.3,0.2,6.5,21.9,40,8,50,0.566770577
Belmont,18054,97,75.4,20297,4,129380,178083,3.9,6,10236,95.9,47.9,6.7,29.7,8.3,1.1,1,5.4,0,0,64.5,35.5,26113,86.5,41.1,80.6,2.6,0.5,19.8,0,0.5,4.3,36,7,56,0.906360856
Hanson,1251,97.8,30.8,1510,2.7,97500,108544,3.9,3.7,673,92.1,97.5,0,0,2.5,0,0,0,0,0,97.3,2.7,1769,104.5,44.6,99.4,1.3,0,0.6,0,0,1.5,18,15,65,0.6775
Pittsfield,31531,90.7,28.5,35757,5.7,51411,69764,10.6,13.4,21752,88.8,53,3.2,15.8,12.1,4.9,4.1,5.6,1.2,0,61.8,38.2,42766,90,44.4,90.6,7.9,0.7,2.4,0.1,2.5,6.8,40,8,50,0.979849903
Brockton,62411,80.5,18.6,74626,8.3,58469,77290,11.9,14.8,33861,94,47.4,2.9,12.3,16,5.7,6,9.4,0.2,0.1,55,45,95594,91,35.7,38.1,48,0.9,2.4,0.1,14.3,11.1,49,6,42,1.225153281
Nantucket,5812,95.1,51.4,6492,2.2,110473,141324,2,7,7122,36.7,81.8,4,8.6,3.2,1.5,0,0.5,0.5,0,67.8,32.2,7984,99.8,39.4,91.8,5.8,0.9,2,0.3,2,5.1,30,13,56,1.638482696
Winchendon,2884,91.1,25.3,3403,4.1,56773,80896,8.3,12.3,1814,86.8,46.9,5.5,11.5,24.3,5.8,5.2,0.8,0,0,50.2,49.8,3999,99.9,40.5,91.4,2.4,1,5.8,0,1.5,4.1,18,14,65,0.926687565
Gloucester,23175,92.5,39.9,25671,4.4,72574,96980,6.2,10,14878,88.1,56.1,5.5,15.3,11.7,4,2.3,5.2,0,0,64,36,30162,93.8,50.9,95.8,3.2,0.4,2.4,0,0.5,2.4,27,9,63,0.767766537
Northborough,4472,94.4,58.7,5150,2.9,114303,156624,1.7,3.3,2392,94.8,74.4,6.3,5.7,6.7,3.7,1,2.2,0,0,76,24,6298,88.7,44.6,90.5,1.7,0.4,8.4,0,1.5,3.2,22,13,64,0.600190484
Westborough,2935,94.3,55.2,3218,2.4,87557,118911,4.9,6.8,1843,93.8,44.8,2.9,16,6.6,5.7,5,19,0,0,55.3,44.7,3957,96.8,41.5,91.9,1.3,1.7,5.8,0,0.5,5.9,26,13,60,1.355569449
