municipality,unemployment_rate,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%
Green Harbor-Cedar Crest ,7.8,111250,114958,0.0,2.5
North Lakeville ,3.8,75509,103144,6.6,5.5
North Scituate ,4.4,108676,153195,3.1,3.7
Ocean Bluff-Brant Rock ,5.4,83101,98164,1.9,6.8
Scituate ,2.1,140419,156175,3.1,4.7
Ocean Grove ,10.5,67861,79090,2.6,12.4
East Pepperell ,4.1,74821,89399,6.4,6.7
Medford ,2.8,96455,120481,3.8,8.8
Falmouth ,2.0,41343,85066,8.0,8.4
West Dennis ,4.0,67469,105002,0.0,6.4
Yarmouth Port ,2.0,74737,99238,4.3,5.7
Boston ,6.6,71115,107608,14.1,18.9
Hopkinton ,9.9,112014,160907,0.0,2.5
Shirley ,1.5,65507,75261,3.5,5.7
Somerville ,3.3,97328,117141,8.2,11.5
Waltham ,3.0,95964,115461,5.3,9.3
Woburn ,3.0,91022,108751,4.4,6.3
Holyoke ,6.0,40769,59685,25.4,29.3
Townsend ,3.1,72500,83552,0.0,5.8
Hudson ,3.2,82431,100724,5.6,5.7
Littleton Common ,4.3,107907,124533,6.3,7.1
Reading ,3.1,132731,147262,2.0,2.8
East Brookfield ,2.4,74821,80801,1.6,6.1
Fiskdale ,4.7,70952,88973,5.0,7.7
Oxford ,4.9,61227,77591,5.9,7.2
Mashpee Neck ,3.6,114904,178678,2.7,5.0
North Falmouth ,5.7,96404,128380,1.2,2.8
Woods Hole ,2.4,97569,188991,7.7,9.8
Millers Falls ,11.6,57917,72156,5.6,10.2
Turners Falls ,4.7,38899,54757,9.1,12.7
Chicopee ,5.9,53225,66591,10.9,13.8
Springfield ,8.2,39432,55658,22.1,26.9
Teaticket ,3.7,64028,92758,1.7,6.4
Smith Mills ,4.6,70692,77661,9.1,11.7
Dedham ,3.7,100757,131790,2.4,4.5
Orleans ,4.8,54750,71199,8.4,10.4
Wilbraham ,1.0,111100,138448,0.0,3.5
Brookline ,2.8,117326,171664,6.3,12.3
Groton ,9.2,65303,139255,4.0,9.7
Williamstown ,4.6,82917,106611,5.6,10.7
Salem ,4.0,68808,87095,11.0,14.7
Winchester ,2.0,169623,227899,1.5,2.3
Hull ,6.7,88476,113431,2.8,4.8
Dennis Port ,6.0,55256,77710,10.7,14.1
Northwest Harwich ,8.1,74208,94534,4.7,7.5
Foxborough ,6.8,70530,108565,3.8,10.8
South Yarmouth ,5.9,61088,76609,3.9,7.2
Pepperell ,5.4,81675,94974,9.8,14.6
Framingham ,5.0,82709,106832,5.7,8.4
Agawam ,3.5,68944,87473,4.3,7.9
Amesbury ,3.6,82468,100890,3.6,6.3
Braintree ,3.5,96522,117154,3.9,4.6
Blandford ,3.4,87500,98521,0.0,2.2
Brookfield ,0.0,64063,74117,9.4,6.2
Chester ,2.6,65250,71762,9.3,13.2
Cheshire ,4.1,79107,86974,0.0,0.0
Devens ,1.8,92426,118557,4.1,21.3
Easthampton ,7.0,63507,80054,3.7,9.2
Franklin ,4.1,122607,148748,2.5,4.0
Deerfield ,8.1,-666666666,90963,0.0,38.9
Greenfield ,5.1,50478,68274,6.7,11.4
Huntington ,3.4,52500,56334,6.0,9.0
Madaket ,10.8,101563,127276,0.0,21.9
Methuen ,6.0,77484,96043,6.8,9.2
Palmer ,6.4,64651,78561,7.9,11.3
Petersham ,0.0,66458,115142,0.0,4.3
Russell ,7.0,49073,58851,11.1,8.9
Siasconset ,0.0,64250,83251,0.0,11.8
Southbridge ,8.8,51270,64448,16.7,20.7
The Pinehills ,4.5,101518,146590,0.0,4.9
Upton ,4.9,89507,120387,0.0,2.6
Watertown ,3.5,101103,124756,4.9,7.6
West Springfield ,5.6,53053,76180,7.5,11.3
Edgartown ,0.0,58750,82355,0.0,0.0
Hanscom AFB ,4.9,108056,110557,0.0,0.0
