,voters,democrat,dem%,republican,rep%,green-rainbow,green%,libertarian,liber%,unenrolled,un%
WEBSTER.......................................................,"10,545","2,506",24,"1,303",12,9,0,49,0,"6,525",62
LEYDEN..........................................................,574,135,24,74,13,0,0,4,1,355,62
CHESTER........................................................,880,152,17,162,18,3,0,7,1,544,62
LYNNFIELD.....................................................,"9,062","1,718",19,"1,642",18,2,0,28,0,"5,600",62
LANESBOROUGH..........................................,"2,229",588,26,229,10,3,0,11,0,"1,377",62
WARE..............................................................,"6,371","1,515",24,765,12,5,0,40,1,"3,935",62
LEOMINSTER.................................................,"27,092","6,954",26,"2,941",11,32,0,112,0,"16,727",62
WORTHINGTON.............................................,979,267,27,97,10,3,0,5,1,604,62
ASHLAND........................................................,"11,305","3,062",27,"1,172",10,5,0,40,0,"6,964",62
BURLINGTON.................................................,"17,485","4,643",27,"1,895",11,3,0,48,0,"10,769",62
HARVARD........................................................,"4,395","1,144",26,484,11,4,0,18,0,"2,702",61
CHESTERFIELD.............................................,903,240,27,97,11,0,0,3,0,555,61
PALMER..........................................................,"8,205","1,969",24,"1,028",13,7,0,44,1,"5,042",61
LEE..................................................................,"4,137","1,165",28,342,8,6,0,25,1,"2,541",61
DALTON..........................................................,"4,474","1,219",27,473,11,4,0,14,0,"2,744",61
ACTON............................................................,"15,252","4,426",29,"1,312",9,13,0,37,0,"9,350",61
DENNIS...........................................................,"11,705","2,757",24,"1,608",14,9,0,45,0,"7,174",61
WEST BROOKFIELD......................................,"2,635",561,21,402,15,2,0,14,1,"1,613",61
BEVERLY.........................................................,"27,648","7,480",27,"2,811",10,36,0,112,0,"16,923",61
NORTH READING...........................................,"10,940","2,404",22,"1,703",16,3,0,50,0,"6,695",61
BEDFORD.......................................................,"9,788","2,658",27,"1,065",11,4,0,30,0,"5,990",61
SOUTHBOROUGH.....................................,"7,205","1,672",23,"1,050",15,7,0,27,0,"4,407",61
FAIRHAVEN.....................................................,"11,332","3,175",28,"1,053",9,10,0,40,0,"6,931",61
MILFORD.........................................................,"17,366","4,649",27,"1,836",11,15,0,83,0,"10,599",61
NORTH ANDOVER.........................................,"20,019","4,558",23,"3,039",15,6,0,60,0,"12,212",61
SANDWICH.....................................................,"15,568","3,076",20,"2,787",18,8,0,58,0,"9,484",61
ANDOVER.......................................................,"23,864","5,874",25,"3,306",14,20,0,59,0,"14,528",61
PEABODY........................................................,"37,084","10,487",28,"3,581",10,14,0,129,0,"22,555",61
GARDNER.......................................................,"11,632","2,992",26,"1,349",12,7,0,60,1,"7,062",61
SAUGUS..........................................................,"18,264","5,016",27,"1,879",10,13,0,69,0,"11,075",61
SHREWSBURY.........................................,"23,458","5,763",25,"3,212",14,17,0,73,0,"14,182",60
SWANSEA.......................................................,"12,065","3,103",26,"1,475",12,6,0,64,1,"7,294",60
DOVER............................................................,"4,185",803,19,834,20,0,0,6,0,"2,530",60
MONTAGUE....................................................,"6,018","1,911",32,378,6,20,0,23,0,"3,638",60
MILLIS.............................................................,"6,154","1,498",24,852,14,5,0,23,0,"3,719",60
BARNSTABLE.................................................,"32,403","7,498",23,"5,002",15,33,0,117,0,"19,577",60
STURBRIDGE..............................................,"7,007","1,499",21,"1,182",17,5,0,28,0,"4,228",60
MARION..........................................................,"4,019",891,22,648,16,7,0,15,0,"2,424",60
MASHPEE.......................................................,"11,001","2,527",23,"1,654",15,9,0,42,0,"6,632",60
CARLISLE.......................................................,"3,847","1,043",27,452,12,7,0,7,0,"2,319",60
HOLLISTON....................................................,"10,459","2,761",26,"1,286",12,4,0,38,0,"6,300",60
ASHFIELD.......................................................,"1,347",443,33,76,6,4,0,5,0,811,60
EASTON..........................................................,"16,483","3,993",24,"2,352",14,11,0,62,0,"9,922",60
WESTWOOD..................................................,"11,265","2,869",25,"1,555",14,7,0,18,0,"6,769",60
SHARON.........................................................,"12,583","4,017",32,924,7,6,0,37,0,"7,554",60
DUXBURY........................................................,"12,186","2,296",19,"2,413",20,1,0,44,0,"7,308",60
SHELBURNE...................................................,"1,342",442,33,85,6,3,0,5,0,804,60
WAKEFIELD....................................................,"18,624","5,132",28,"2,096",11,12,0,86,0,"11,150",60
WAYLAND.......................................................,"10,224","2,982",29,"1,057",10,7,0,21,0,"6,120",60
WESTBOROUGH...........................................,"12,365","3,203",26,"1,632",13,7,0,38,0,"7,401",60
WENHAM........................................................,"2,747",552,20,527,19,2,0,6,0,"1,644",60
NORWELL.......................................................,"7,904","1,644",21,"1,439",18,3,0,28,0,"4,729",60
TAUNTON........................................................,"32,983","9,643",29,"3,053",9,19,0,186,1,"19,728",60
TOLLAND........................................................,378,70,19,79,21,0,0,1,0,226,60
WEYMOUTH...................................................,"36,481","10,550",29,"3,637",10,20,0,119,0,"21,800",60
FALMOUTH.....................................................,"24,475","6,653",27,"3,008",12,22,0,71,0,"14,611",60
AMESBURY.....................................................,"12,045","3,121",26,"1,495",12,18,0,72,1,"7,183",60
WESTON.........................................................,"8,297","2,054",25,"1,240",15,8,0,15,0,"4,935",59
WHATELY........................................................,"1,174",329,28,135,11,5,0,4,0,698,59
MONSON.........................................................,"5,799","1,331",23,909,16,3,0,27,0,"3,444",59
MANCHESTER-BY-THE-SEA.........................,"4,153",952,23,693,17,6,0,13,0,"2,463",59
SCITUATE.......................................................,"14,492","3,514",24,"2,213",15,9,0,42,0,"8,592",59
HINGHAM........................................................,"17,411","4,035",23,"2,868",16,6,0,48,0,"10,322",59
STONEHAM....................................................,"16,132","4,733",29,"1,655",10,5,0,47,0,"9,547",59
NORTH ADAMS..............................................,"8,361","2,720",33,552,7,16,0,47,1,"4,945",59
MARLBOROUGH............................................,"22,485","6,431",29,"2,421",11,16,0,103,0,"13,296",59
HATFIELD........................................................,"2,581",851,33,185,7,1,0,7,0,"1,524",59
WEST NEWBURY...........................................,"3,482",799,23,574,16,5,0,13,0,"2,056",59
ADAMS............................................................,"5,948","1,869",31,490,8,6,0,28,0,"3,508",59
YARMOUTH....................................................,"19,068","4,758",25,"2,833",15,15,0,63,0,"11,215",59
DEERFIELD.....................................................,"3,644","1,145",31,315,9,2,0,15,0,"2,143",59
HAVERHILL.....................................................,"43,277","11,977",28,"4,999",12,41,0,227,1,"25,447",59
BELCHERTOWN.............................................,"10,447","2,746",26,"1,397",13,16,0,43,0,"6,142",59
CLINTON.........................................................,"9,325","2,696",29,984,11,3,0,46,0,"5,482",59
WINCHESTER................................................,"15,355","4,402",29,"1,808",12,7,0,22,0,"9,024",59
BECKET...........................................................,"1,472",407,28,187,13,2,0,3,0,865,59
HARWICH.......................................................,"10,631","2,663",25,"1,654",16,4,0,32,0,"6,239",59
HOPKINTON...................................................,"11,842","2,714",23,"2,020",17,2,0,49,0,"6,949",59
FITCHBURG....................................................,"23,003","6,825",30,"2,304",10,32,0,132,1,"13,430",58
SWAMPSCOTT...............................................,"10,918","3,389",31,"1,085",10,4,0,22,0,"6,374",58
BREWSTER....................................................,"7,781","2,021",26,"1,117",14,6,0,35,0,"4,542",58
COHASSET.....................................................,"5,981","1,279",21,"1,158",19,0,0,23,0,"3,480",58
MARBLEHEAD................................................,"15,415","4,127",27,"2,095",14,13,0,70,0,"8,958",58
EASTHAM.......................................................,"4,192","1,210",29,505,12,6,0,10,0,"2,434",58
HOLBROOK....................................................,"7,418","2,353",32,669,9,4,0,18,0,"4,306",58
SHERBORN....................................................,"3,159",835,26,460,15,4,0,11,0,"1,832",58
AGAWAM........................................................,"20,827","5,030",24,"3,351",16,22,0,85,0,"12,074",58
SUDBURY........................................................,"12,711","3,559",28,"1,693",13,6,0,23,0,"7,363",58
READING........................................................,"19,847","5,437",27,"2,654",13,13,0,68,0,"11,479",58
TYRINGHAM...................................................,351,105,30,41,12,0,0,2,1,203,58
BRAINTREE....................................................,"26,105","8,023",31,"2,707",10,10,0,71,0,"15,096",58
NORWOOD.....................................................,"20,147","6,403",32,"1,839",9,11,0,82,0,"11,648",58
MAYNARD.......................................................,"7,801","2,447",31,750,10,14,0,29,0,"4,503",58
CHATHAM.......................................................,"5,620","1,210",22,"1,111",20,7,0,14,0,"3,243",58
WEST SPRINGFIELD.....................................,"16,556","4,492",27,"2,297",14,18,0,63,0,"9,514",57
HULL................................................................,"9,006","2,730",30,965,11,5,0,44,0,"5,174",57
WOBURN........................................................,"25,315","7,882",31,"2,533",10,4,0,96,0,"14,526",57
NAHANT..........................................................,"2,662",862,32,243,9,1,0,12,0,"1,527",57
CANTON..........................................................,"16,400","4,978",30,"1,835",11,3,0,43,0,"9,395",57
SOUTHBRIDGE..............................................,"10,884","3,394",31,"1,108",10,6,0,70,1,"6,226",57
NEWBURYPORT.............................................,"14,575","4,331",30,"1,731",12,10,0,54,0,"8,306",57
WALTHAM.......................................................,"33,384","11,501",34,"2,657",8,15,0,122,0,"19,007",57
AVON...............................................................,"3,243","1,061",33,295,9,3,0,14,0,"1,845",57
DARTMOUTH..................................................,"22,240","6,918",31,"2,340",11,18,0,84,0,"12,636",57
SOUTH HADLEY.............................................,"11,299","3,426",30,"1,283",11,10,0,57,1,"6,416",57
WESTFIELD....................................................,"24,493","5,622",23,"4,492",18,36,0,121,0,"13,893",57
SANDISFIELD.................................................,582,181,31,66,11,0,0,5,1,330,57
NATICK............................................................,"22,716","7,345",32,"2,281",10,9,0,67,0,"12,879",57
GREENFIELD..................................................,"11,543","3,853",33,945,8,24,0,54,0,"6,542",57
EASTHAMPTON.............................................,"11,952","4,192",35,810,7,43,0,48,0,"6,767",57
SOUTHWICK...................................................,"6,781","1,237",18,"1,580",23,7,0,36,1,"3,835",57
SOMERSET.....................................................,"12,985","4,136",32,"1,342",10,3,0,60,0,"7,330",56
BELMONT........................................................,"17,274","6,169",36,"1,221",7,14,0,25,0,"9,740",56
