municipality,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%
New Bedford,42593,91.3,30.8,1.8,17.6,28.8,10.8,2.9,7.1,0.1,0.1,40.2,59.8
Nantucket,7122,36.7,81.8,4.0,8.6,3.2,1.5,0.0,0.5,0.5,0.0,67.8,32.2
Dover,853,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.8,5.2
Hanson,673,92.1,97.5,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,97.3,2.7
Marion Center,524,78.4,98.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,76.9,23.1
Lexington,12154,97.2,76.6,6.5,2.5,2.4,1.7,3.7,6.6,0.0,0.0,81.7,18.3
Malden,24406,94.3,24.9,6.3,22.1,11.5,4.0,5.1,25.7,0.5,0.0,41.0,59.0
Melrose,11787,96.1,57.2,3.2,9.8,2.8,3.6,4.8,18.2,0.0,0.4,65.8,34.2
Lenox,1111,91.8,32.3,0.0,6.6,4.1,11.4,9.2,36.5,0.0,0.0,41.1,58.9
Beverly,17216,95.5,49.7,3.1,8.5,13.0,6.9,5.9,12.6,0.0,0.3,60.5,39.5
Lynn,33989,95.9,33.4,3.8,15.8,18.3,5.1,5.8,17.8,0.1,0.0,44.9,55.1
Lynnfield,4879,94.1,79.9,3.6,1.3,1.5,0.8,1.0,12.0,0.0,0.0,85.1,14.9
Rockport,3094,77.6,63.4,6.4,12.9,10.4,5.6,0.7,0.5,0.0,0.0,68.9,31.1
Barre,555,92.6,65.6,0.0,19.1,1.8,13.5,0.0,0.0,0.0,0.0,74.5,25.5
Leominster,17725,95.0,46.5,5.3,9.9,10.6,7.5,7.7,11.7,0.9,0.0,57.8,42.2
Worcester,78438,91.3,31.7,5.7,9.6,24.0,8.3,5.8,14.7,0.2,0.0,41.3,58.7
Wilmington,8073,98.6,85.1,3.5,0.9,2.0,0.9,4.6,3.0,0.1,0.0,85.8,14.2
Housatonic,488,90.8,64.8,0.0,4.9,30.3,0.0,0.0,0.0,0.0,0.0,61.2,38.8
Lee,867,87.9,49.4,0.0,16.7,2.3,18.1,5.9,7.6,0.0,0.0,45.1,54.9
North Adams,6588,84.5,44.7,1.4,14.0,17.2,10.5,0.8,7.3,4.1,0.0,57.4,42.6
Pittsfield,21752,88.8,53.0,3.2,15.8,12.1,4.9,4.1,5.6,1.2,0.0,61.8,38.2
Athol,3870,86.7,61.0,3.0,12.3,9.0,6.0,4.7,3.7,0.2,0.0,63.4,36.6
Boxford,795,100.0,97.1,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Gloucester,14878,88.1,56.1,5.5,15.3,11.7,4.0,2.3,5.2,0.0,0.0,64.0,36.0
Saugus,11118,93.8,67.1,5.9,10.1,2.1,2.0,2.7,6.9,3.2,0.0,80.6,19.4
Northborough,2392,94.8,74.4,6.3,5.7,6.7,3.7,1.0,2.2,0.0,0.0,76.0,24.0
Rutland,950,87.8,78.4,0.0,0.0,10.9,1.2,0.0,1.5,8.0,0.0,68.8,31.2
Westborough,1843,93.8,44.8,2.9,16.0,6.6,5.7,5.0,19.0,0.0,0.0,55.3,44.7
West Brookfield,731,83.9,60.1,0.0,11.5,11.5,8.8,3.7,2.3,0.0,2.2,38.0,62.0
Green Harbor-Cedar Crest,1427,68.3,96.1,1.2,0.0,2.7,0.0,0.0,0.0,0.0,0.0,85.9,14.1
North Lakeville,1312,96.2,62.7,5.9,4.0,6.9,4.7,1.8,14.0,0.0,0.0,64.3,35.7
North Scituate,1976,97.7,90.2,5.4,0.0,1.3,0.6,0.5,2.1,0.0,0.0,91.0,9.0
Ocean Bluff-Brant Rock,2949,67.2,95.0,0.5,1.3,0.9,0.1,0.5,1.6,0.0,0.0,84.6,15.4
Scituate,2326,95.1,78.8,5.5,2.7,5.1,4.7,1.7,1.6,0.0,0.0,81.1,18.9
Ocean Grove,1457,89.8,80.5,0.0,13.4,1.5,0.0,0.0,0.0,4.6,0.0,82.0,18.0
East Pepperell,826,96.7,67.7,8.7,5.9,7.3,4.7,4.2,1.5,0.0,0.0,79.1,20.9
Medford,24108,95.1,32.5,8.3,27.8,8.5,2.8,2.6,17.3,0.2,0.0,56.2,43.8
Falmouth,3073,65.4,60.5,7.0,5.2,10.8,5.6,1.3,9.6,0.0,0.0,55.2,44.8
