municipality,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Orange,3772,92.6,43.1,97.1,0.8,0.8,3.4,0.0,0.0,3.0
Longmeadow,15791,90.4,45.0,92.3,1.1,0.4,7.5,0.4,1.1,6.8
North Seekonk,2398,100.8,48.1,99.4,1.4,0.0,0.0,0.0,3.5,10.5
North Westport,4510,97.4,49.5,98.9,0.3,0.0,0.0,0.0,1.4,1.7
South Amherst,5106,97.1,24.0,69.8,19.5,0.5,14.8,1.0,4.9,9.9
Chelsea,39992,106.9,33.3,80.8,38.0,0.4,4.5,0.0,9.3,67.0
Everett,46118,97.5,35.9,61.7,21.1,1.5,9.6,0.1,10.9,28.3
Harwich Port,1809,83.3,65.6,98.3,3.3,0.0,0.0,0.0,0.0,2.3
Monument Beach,2807,94.3,54.1,87.2,2.0,1.9,11.2,0.0,12.4,9.2
South Dennis,3393,81.4,54.5,97.8,0.9,0.4,2.1,0.0,0.0,0.1
Revere,53692,101.3,39.2,83.1,9.0,0.9,5.4,0.1,7.0,33.6
Vineyard Haven,2123,122.8,43.5,86.9,9.9,0.0,0.0,0.0,3.2,0.1
Granby,1272,97.8,50.2,98.3,0.0,0.0,1.4,1.4,1.7,12.7
Hatfield,1305,91.6,54.0,93.6,1.0,1.7,0.0,0.0,3.8,6.4
North Amherst,6907,109.2,21.7,78.9,2.8,1.7,17.4,1.4,0.6,7.0
Ware,5888,90.1,40.2,97.7,2.5,1.2,0.0,0.2,0.8,10.7
Millis-Clicquot,4658,91.5,43.6,92.1,4.0,0.0,1.9,0.0,2.4,1.1
Wellesley,28747,76.3,35.6,83.3,3.6,0.4,14.8,0.3,1.2,5.1
Marshfield Hills,2315,83.6,43.7,99.5,0.0,0.0,0.5,0.0,0.0,0.0
Plymouth,7081,81.6,44.3,94.2,3.5,1.2,1.6,0.0,3.1,2.1
Forestdale,3791,90.6,49.4,99.6,0.0,0.5,0.4,0.0,0.0,0.7
Barnstable,44406,94.9,48.3,91.4,6.7,0.8,1.2,0.2,1.6,5.9
Bridgewater,27436,108.0,34.5,86.8,9.6,0.7,3.0,0.1,2.3,3.9
Randolph,34064,92.8,40.7,34.7,47.5,0.7,13.2,0.0,7.1,8.8
Popponesset,150,154.2,62.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Popponesset Island,34,100.0,81.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Provincetown,2730,133.1,57.0,94.7,4.0,0.8,3.5,0.3,1.6,4.5
Sagamore,3675,92.6,46.0,93.3,3.2,0.0,3.3,0.0,2.9,2.7
West Falmouth,1971,91.0,54.8,98.5,0.0,0.0,5.5,0.0,0.0,0.0
West Yarmouth,5741,80.9,48.8,86.3,6.0,0.9,6.2,1.2,4.4,5.1
Northfield,1032,84.0,51.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Westfield,41449,92.6,39.6,93.5,2.3,0.3,3.1,0.3,1.8,9.5
Attleboro,44789,95.8,41.5,89.6,5.2,0.4,4.5,0.2,1.8,6.6
Duxbury,1567,100.1,53.2,98.5,0.0,0.0,1.5,0.0,0.0,1.1
New Bedford,95239,93.1,36.6,67.1,10.2,0.8,2.0,0.2,25.8,20.8
Nantucket,7984,99.8,39.4,91.8,5.8,0.9,2.0,0.3,2.0,5.1
Dover,2539,107.4,43.9,89.5,0.0,0.0,14.1,0.0,0.0,0.4
Hanson,1769,104.5,44.6,99.4,1.3,0.0,0.6,0.0,0.0,1.5
Marion Center,1076,82.1,54.8,91.0,3.5,0.0,8.7,0.0,0.0,0.2
Lexington,33340,93.9,45.7,67.1,2.6,0.5,32.6,0.2,1.1,2.1
Malden,60984,91.8,34.6,55.7,20.0,0.6,23.8,0.2,3.1,8.5
Melrose,28113,85.7,41.3,90.6,4.3,0.1,6.9,0.0,0.5,3.2
Lenox,1899,68.4,61.5,97.3,1.6,0.6,0.9,0.0,1.3,6.2
Beverly,41885,87.1,40.4,94.5,3.7,0.4,2.8,0.3,1.1,5.1
Lynn,93743,101.5,34.5,54.0,18.2,1.1,8.3,0.3,25.3,42.8
Lynnfield,12894,93.1,43.6,93.7,2.4,0.4,5.3,0.0,0.2,2.4
Rockport,5260,73.4,56.7,99.5,0.1,0.2,1.1,0.0,0.4,1.0
Barre,986,98.8,55.8,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Leominster,41606,90.6,40.5,84.5,8.6,1.1,4.1,0.1,5.8,18.4
Worcester,185143,96.3,34.7,72.6,15.6,1.2,8.3,0.2,6.5,21.9
Wilmington,23377,97.1,42.1,89.0,4.2,0.3,7.0,0.1,1.2,1.0
Housatonic,753,81.9,57.6,88.8,0.0,0.0,0.0,0.0,11.2,20.1
Lee,1717,113.6,44.1,86.4,1.0,0.0,0.2,0.0,12.3,2.2
North Adams,12959,99.7,42.4,93.9,4.9,2.0,1.1,0.2,3.3,6.6
Pittsfield,42766,90.0,44.4,90.6,7.9,0.7,2.4,0.1,2.5,6.8
Athol,8617,82.8,39.3,93.5,3.6,0.5,1.2,0.0,4.8,6.5
Boxford,2585,99.0,46.7,96.5,2.7,2.7,3.9,0.0,0.0,1.5
Gloucester,30162,93.8,50.9,95.8,3.2,0.4,2.4,0.0,0.5,2.4
Saugus,28215,96.0,47.1,92.4,2.5,0.4,4.9,0.0,1.5,8.6
Northborough,6298,88.7,44.6,90.5,1.7,0.4,8.4,0.0,1.5,3.2
Rutland,2360,124.5,41.1,97.7,0.0,0.0,2.3,0.0,0.0,2.7
Westborough,3957,96.8,41.5,91.9,1.3,1.7,5.8,0.0,0.5,5.9
West Brookfield,1479,82.6,54.1,97.7,0.0,0.0,0.0,0.0,2.3,1.5
Green Harbor-Cedar Crest,2703,83.0,53.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
North Lakeville,3114,100.1,42.9,91.5,8.0,2.2,0.6,0.0,2.1,3.9
North Scituate,5044,100.7,46.2,99.0,0.8,0.0,1.1,0.0,0.0,0.0
Ocean Bluff-Brant Rock,5199,88.7,47.9,98.8,1.8,0.0,0.5,0.0,0.0,1.4
Scituate,5558,80.0,51.2,97.4,0.3,0.0,0.0,0.0,3.7,0.7
Ocean Grove,3092,106.8,45.7,96.2,0.2,0.0,2.7,0.0,1.7,1.0
East Pepperell,1811,91.0,49.6,97.0,1.9,0.6,0.6,0.0,0.6,3.6
Medford,57637,96.1,35.3,79.0,11.4,0.7,11.8,0.1,1.7,6.5
Falmouth,3540,81.1,62.2,90.4,3.4,2.0,3.0,0.2,4.1,3.1
West Dennis,2236,101.1,58.3,92.8,5.7,0.0,0.4,0.4,0.9,2.8
Yarmouth Port,5242,77.8,63.3,99.8,0.2,0.6,0.0,0.0,0.0,1.8
Boston,684379,92.3,32.2,57.4,28.9,0.9,10.7,0.2,7.4,19.8
Hopkinton,3098,64.0,40.6,95.6,3.3,0.1,4.2,0.0,0.4,4.7
Shirley,1861,109.8,58.1,97.0,2.1,1.3,4.7,0.0,0.0,0.0
Somerville,80906,98.3,31.3,79.7,8.6,0.8,11.6,0.1,3.8,12.4
Waltham,62777,95.4,34.3,75.5,8.8,1.0,12.9,0.1,5.6,13.6
Woburn,40304,102.3,40.0,81.6,7.4,0.4,9.8,0.4,3.5,4.6
Holyoke,40241,94.0,35.2,89.7,6.3,0.8,1.1,0.1,5.0,53.9
Townsend,1310,85.3,39.3,95.4,1.6,0.0,2.9,0.0,0.1,6.5
Hudson,15346,95.2,43.9,94.4,1.3,0.3,3.0,0.0,1.4,7.0
Littleton Common,3293,90.0,45.3,95.3,0.6,1.5,6.5,0.0,0.0,1.6
Reading,25132,97.4,43.2,94.0,0.6,0.1,4.9,0.2,1.5,3.0
East Brookfield,1037,115.6,35.5,97.3,0.0,0.9,0.0,0.0,1.8,3.3
Fiskdale,3087,84.4,38.1,96.2,0.1,0.0,3.7,0.0,0.0,2.7
Oxford,5595,114.3,41.3,93.6,1.1,0.4,1.5,0.1,4.5,4.7
Mashpee Neck,1386,94.4,45.8,90.4,0.9,1.5,9.7,0.0,0.0,2.1
