municipality,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%
Williamsburg,1212,87.5,80.4,2.6,9.2,6.2,0.0,1.2,0.5,0.0,0.0,79.1,20.9
Medway,4946,95.7,81.6,3.3,4.5,3.5,3.5,0.2,3.5,0.0,0.0,89.9,10.1
Buckland,79,77.2,83.5,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Rowe,330,71.8,93.3,0.6,0.0,2.1,0.0,0.0,0.3,3.6,0.0,92.4,7.6
Pembroke,6799,96.5,80.9,5.5,3.8,0.6,3.4,2.2,3.1,0.5,0.0,84.8,15.2
Mashpee,10273,61.9,75.3,11.7,0.7,3.9,4.7,1.3,1.0,1.3,0.0,86.6,13.4
Becket,2086,51.2,97.4,0.8,0.4,0.2,0.0,0.0,0.0,1.3,0.0,92.4,7.6
Dalton,3220,95.9,67.5,0.6,15.4,8.9,1.6,2.9,1.9,1.2,0.0,75.8,24.2
Hampden,2122,94.3,92.3,3.1,2.5,1.1,0.6,0.0,0.4,0.0,0.0,91.4,8.7
Plainfield,357,82.9,88.8,2.5,3.9,0.8,0.0,0.0,0.0,3.9,0.0,81.8,18.2
Ashland,7068,96.2,56.9,17.7,5.2,10.2,3.3,0.9,5.9,0.0,0.0,82.6,17.4
Berkley,2459,96.9,95.0,3.4,0.0,0.6,0.0,0.0,0.0,1.0,0.0,96.9,3.1
Lakeville,4483,91.3,87.0,1.7,1.8,2.4,1.4,0.5,4.2,1.0,0.0,84.8,15.2
Southampton,2406,100.0,89.1,2.0,1.5,0.6,4.5,0.0,2.2,0.0,0.0,90.9,9.1
Hanover,5038,97.5,85.3,1.5,3.5,2.7,1.6,0.3,4.8,0.3,0.0,88.1,11.9
Swansea,6631,95.9,90.0,0.4,4.8,1.3,1.7,0.4,0.3,1.0,0.0,88.2,11.8
Canton,9422,96.2,62.6,5.8,4.0,2.5,10.2,7.4,7.4,0.2,0.0,76.4,23.6
Middleborough,9924,93.4,67.4,5.7,6.2,5.1,3.9,4.3,1.8,5.7,0.0,80.3,19.7
Wareham,5467,76.6,79.1,3.5,2.2,3.4,4.7,1.3,3.3,2.6,0.0,64.6,35.4
Hinsdale,1528,73.0,76.7,1.4,2.4,8.3,2.0,0.0,0.0,9.2,0.0,81.7,18.3
Ludlow,8408,94.3,70.6,5.0,11.0,3.5,2.6,3.4,3.1,0.9,0.0,72.9,27.1
North Attleborough,10885,96.3,54.9,4.0,4.1,13.5,4.8,7.6,8.7,2.5,0.0,65.8,34.2
Raynham,5477,96.8,69.2,0.4,2.8,2.1,7.1,3.4,7.5,7.5,0.0,81.2,18.8
Weston,3964,95.5,85.7,2.7,1.0,4.1,0.7,0.4,5.1,0.2,0.0,85.8,14.2
Savoy,364,80.5,88.7,0.0,0.0,1.6,0.3,0.0,0.5,8.8,0.0,91.8,8.2
Seekonk,6518,92.9,84.0,1.3,5.2,3.3,1.4,0.9,3.0,0.9,0.0,83.8,16.2
Bolton,1851,93.9,91.7,3.0,3.3,0.4,0.0,0.6,1.0,0.0,0.0,93.5,6.5
East Bridgewater,4947,97.6,81.7,4.4,4.7,3.6,3.1,1.2,1.1,0.2,0.0,80.9,19.1
Sheffield,1305,70.3,80.6,4.3,5.4,6.1,1.5,0.0,2.1,0.0,0.0,84.7,15.3
Halifax,2950,98.4,70.7,8.4,2.3,1.8,1.9,0.0,0.0,14.9,0.0,90.8,9.2
West Bridgewater,2696,92.7,77.4,4.3,6.8,3.3,2.6,0.3,0.0,5.3,0.0,86.6,13.4
Gill,623,92.9,83.0,3.5,4.0,5.3,0.0,1.8,0.6,1.8,0.0,81.7,18.3
Eastham,6222,38.4,95.0,3.0,1.4,0.6,0.0,0.0,0.1,0.0,0.0,90.7,9.3
Bernardston,1220,88.0,84.3,0.8,5.2,1.2,1.2,1.9,0.0,5.2,0.2,80.6,19.4
Norfolk,3337,95.5,89.3,6.9,1.6,0.3,1.9,0.0,0.0,0.0,0.0,95.6,4.4
Sherborn,1601,95.3,91.5,3.9,0.6,0.0,1.3,0.0,2.7,0.0,0.0,96.0,4.0
Auburn,6902,96.1,77.7,4.6,2.9,4.7,3.1,1.4,2.4,3.2,0.0,84.9,15.1
Shelburne,2070,87.5,65.9,2.9,14.3,10.3,3.2,0.7,0.6,2.1,0.0,68.1,31.9
Millbury,5674,93.0,60.8,10.2,9.9,7.3,6.0,1.7,3.9,0.4,0.0,73.3,26.7
Conway,894,87.0,90.5,3.0,4.4,0.0,0.0,0.3,1.5,0.3,0.0,85.5,14.5
Marion,2481,78.3,93.3,1.2,1.2,0.3,0.7,0.8,2.5,0.0,0.0,80.3,19.7
Chilmark,2163,29.2,98.0,0.9,0.6,0.0,0.0,0.0,0.0,0.6,0.0,79.7,20.3
Acushnet,4236,96.6,84.3,1.6,2.1,5.2,1.5,0.5,0.2,4.6,0.0,86.8,13.2
Chelmsford,9982,97.3,74.1,4.7,2.3,1.4,1.3,5.6,9.4,1.1,0.0,84.5,15.5
Acton,8689,98.2,63.2,6.3,3.7,2.7,2.9,9.7,11.1,0.4,0.0,74.3,25.7
Westford,8852,96.8,81.5,7.8,1.1,1.4,2.8,1.1,4.0,0.3,0.0,86.2,13.8
Amherst,10965,89.4,45.6,4.7,9.9,9.5,10.8,9.3,10.0,0.1,0.0,49.0,51.0
Leicester,2542,96.5,77.9,2.1,3.1,0.7,3.2,4.3,7.6,1.1,0.0,75.8,24.2
Ashfield,716,80.2,83.5,0.8,8.9,2.4,2.9,1.4,0.0,0.0,0.0,81.2,18.8
Erving,604,90.4,70.9,4.6,9.6,9.1,0.0,0.7,3.8,1.3,0.0,79.1,20.9
Berlin,1253,94.1,61.9,19.2,9.3,3.0,0.9,0.0,4.9,0.6,0.0,82.5,17.5
Dartmouth,7265,95.3,77.7,1.7,2.4,3.0,1.4,6.5,7.0,0.2,0.1,77.1,22.9
Egremont,4735,74.1,75.0,0.9,7.7,4.0,7.0,2.6,2.2,0.7,0.0,74.5,25.5
