municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Madaket,255,100.0,53.7,274.0,10.8,101563.0,127276.0,0.0,21.9,650.0,17.4,93.8,0.6,0.0,1.1,4.5,0.0,0.0,0.0,0.0,91.2,8.8,274.0,82.7,51.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Malden,43469,87.2,39.0,50043.0,5.0,65975.0,85003.0,12.0,15.5,24406.0,94.3,24.9,6.3,22.1,11.5,4.0,5.1,25.7,0.5,0.0,41.0,59.0,60984.0,91.8,34.6,55.7,20.0,0.6,23.8,0.2,3.1,8.5
Mansfield,5751,95.79999999999998,49.5,6514.0,4.2,92642.0,119842.0,2.3,4.1,3409.0,93.8,50.3,3.1,12.9,8.1,5.8,8.9,10.9,0.0,0.0,63.0,37.0,7905.0,96.7,39.6,93.7,2.2,0.8,6.0,0.0,0.3,6.6
Marblehead,14715,98.6,71.3,16510.0,4.9,123333.0,172829.0,2.7,4.4,8716.0,93.2,69.5,5.0,8.3,10.8,4.3,1.0,1.1,0.0,0.0,77.8,22.2,20500.0,88.9,47.9,96.5,1.7,0.0,2.2,0.0,0.5,5.0
Marion,829,94.9,60.2,931.0,11.1,77109.0,161994.0,0.0,9.4,524.0,78.4,98.7,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,76.9,23.1,1076.0,82.1,54.8,91.0,3.5,0.0,8.7,0.0,0.0,0.2
Marshfield,5036,97.61211278792692,56.87541699761715,3079.0405083399523,4.354328832406672,106573.75734710088,131428.25575853852,7.516600476568705,10.11902303415409,1634.3129467831614,95.70242255758538,78.28923749007149,3.284432088959492,1.0179904686258934,4.723193010325655,7.084789515488483,4.520770452740271,1.1470611596505162,0.0,0.0,75.8542891183479,24.145710881652107,4078.1004765687053,89.40277998411437,42.21556791104051,98.96020651310565,0.13494837172359014,0.06747418586179507,0.6349483717235901,0.0,1.2145353455123116,2.3615965051628276
Mashpee,929,98.7,56.6,1151.0,3.6000000000000005,114904.0,178678.0,2.7,5.0,648.0,79.8,98.6,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.6,11.4,1386.0,94.4,45.8,90.4,0.9,1.5,9.7,0.0,0.0,2.1
Mattapoisett Center,2482,98.4,50.0,3018.0,2.9,93826.0,159992.0,1.9,2.8,1819.0,76.5,84.9,0.7,6.9,5.8,0.0,0.0,1.7,0.0,0.0,71.6,28.4,3354.0,88.7,52.1,98.3,0.0,0.5,0.0,0.0,1.7,2.9
Maynard,7815,96.5,51.1,8671.0,1.2,105254.0,127380.0,3.1,3.8,4667.0,91.3,58.0,9.1,10.4,4.1,8.7,6.9,2.9,0.0,0.0,78.8,21.2,10754.0,95.2,41.7,93.8,2.2,0.4,1.9,0.0,3.4,3.4
Medfield,4610,97.9,69.8,5225.0,2.0,127048.0,161849.0,3.3,4.0,2585.0,97.7,71.7,5.3,3.2,2.8,5.1,6.9,5.0,0.0,0.0,78.7,21.3,6966.0,96.9,43.5,93.0,1.7,0.5,6.1,0.0,0.0,1.2
Medford,41431,92.9,53.8,49853.0,2.8,96455.0,120481.0,3.8,8.8,24108.0,95.1,32.5,8.3,27.8,8.5,2.8,2.6,17.3,0.2,0.0,56.2,43.8,57637.0,96.1,35.3,79.0,11.4,0.7,11.8,0.1,1.7,6.5
Melrose,20322,95.9,61.6,23268.0,2.8,106955.0,135189.0,1.8,4.1,11787.0,96.1,57.2,3.2,9.8,2.8,3.6,4.8,18.2,0.0,0.4,65.8,34.2,28113.0,85.7,41.3,90.6,4.3,0.1,6.9,0.0,0.5,3.2
Methuen,34750,88.3,28.1,41418.0,6.0,77484.0,96043.0,6.8,9.2,18700.0,95.8,60.6,6.9,9.0,7.5,2.9,5.8,6.9,0.3,0.0,71.8,28.2,50282.0,92.6,40.7,78.1,6.8,0.9,4.6,0.0,13.4,29.5
Middleborough,4981,93.4,25.2,6038.0,3.2,66525.0,84009.0,18.2,18.3,3260.0,85.4,37.0,9.1,15.3,14.3,8.9,9.5,5.4,0.5,0.0,53.4,46.6,7343.0,101.7,35.0,95.9,3.5,1.0,0.0,0.0,1.7,3.0
Milford,17913,86.9,34.3,20407.0,5.3,80371.0,92640.0,8.5,11.1,10489.0,95.2,53.9,11.2,10.8,8.3,4.7,6.7,4.1,0.4,0.0,66.4,33.6,26084.0,97.5,38.2,83.0,2.9,0.7,2.9,0.0,13.2,15.5
Millers Falls,894,89.6,17.1,1072.0,11.6,57917.0,72156.0,5.6,10.2,530.0,92.1,63.4,2.8,16.0,11.9,5.8,0.0,0.0,0.0,0.0,73.0,27.0,1284.0,90.8,40.1,99.8,0.5,0.7,0.5,0.0,0.0,0.5
Millis,3279,96.5,47.5,3671.0,1.8,82847.0,98167.0,0.9,2.7,2063.0,93.5,55.9,9.7,2.5,6.5,4.9,11.0,9.5,0.0,0.0,76.0,24.0,4658.0,91.5,43.6,92.1,4.0,0.0,1.8999999999999997,0.0,2.4,1.1
Milton,17820,94.7,61.0,21486.0,3.6,133718.0,172407.0,3.5,4.7,9316.0,95.3,73.5,3.6,10.9,2.2,0.8,1.7,7.2,0.0,0.0,84.3,15.7,27572.0,88.7,39.5,75.7,17.2,1.0,7.9,0.5,1.7,3.2
Monomoscoy Island,100,91.0,31.0,100.0,0.0,75625.0,110282.0,0.0,0.0,155.0,38.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.7,43.3,100.0,100.0,60.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Monson,1450,96.0,23.9,1659.0,9.8,64673.0,77818.0,4.7,9.3,933.0,89.9,62.1,0.0,11.5,13.9,8.8,2.6,1.2,0.0,0.0,60.7,39.3,1881.0,101.6,44.0,97.0,2.5,1.1,0.0,0.0,0.5,0.6
Monument Beach,2110,96.4,30.1,2444.0,0.0,73860.0,90002.0,4.3,4.9,1657.0,75.9,69.0,17.5,8.3,1.1,0.8,0.0,3.1,0.0,0.0,78.2,21.8,2807.0,94.3,54.1,87.2,2.0,1.9,11.2,0.0,12.4,9.2
Nahant,2772,97.0,57.2,3088.0,2.5,97778.0,138334.0,1.9,2.4,1724.0,92.9,69.5,1.2,11.2,3.9,6.8,3.8,3.6,0.0,0.0,70.5,29.5,3502.0,86.6,52.3,96.8,0.1,0.5,2.5,0.0,1.0,1.5
Nantucket,5812,95.1,51.4,6492.0,2.2,110473.0,141324.0,2.0,7.0,7122.0,36.7,81.8,4.0,8.6,3.2,1.5,0.0,0.5,0.5,0.0,67.8,32.2,7984.0,99.8,39.4,91.8,5.8,0.9,2.0,0.3,2.0,5.1
Needham,20559,97.8,76.0,23711.0,4.0,165547.0,223894.0,1.4,2.7,11309.0,95.5,76.4,5.4,3.8,1.6,2.2,1.6,8.9,0.0,0.0,83.9,16.1,30970.0,92.2,43.5,87.4,3.4,0.3,10.6,0.0,0.7,3.2
New Bedford,63772,76.4,17.0,76157.0,6.4,46321.0,61328.0,15.8,20.3,42593.0,91.3,30.8,1.8,17.6,28.8,10.8,2.9,7.1,0.1,0.1,40.2,59.8,95239.0,93.1,36.6,67.1,10.2,0.8,2.0,0.2,25.8,20.8
New Seabury,651,100.0,63.7,710.0,0.0,110250.0,149382.0,0.0,3.5,1968.0,21.4,77.0,12.1,1.5,3.4,1.3,3.0,1.6,0.0,0.0,88.9,11.1,710.0,92.4,69.2,100.0,0.0,0.0,0.0,0.0,0.0,1.4
Newburyport,13474,96.9,62.4,14814.0,3.5,109839.0,145502.0,4.5,5.9,8655.0,90.5,50.9,13.0,9.5,6.9,7.6,2.6,8.8,0.7,0.0,77.2,22.8,18077.0,83.6,48.9,95.7,3.0,0.1,2.5,0.1,0.3,2.8
Newton,58219,97.4,79.2,72238.0,2.8,151068.0,207563.0,2.5,4.3,32551.0,94.2,56.8,7.8,16.2,4.4,2.2,2.9,9.5,0.1,0.0,72.0,28.0,88593.0,86.9,41.0,79.9,4.0,0.3,17.1,0.1,2.3,4.9
Northampton,19416,93.8,60.1,24708.0,3.7,66522.0,93153.0,7.0,13.7,12065.0,93.6,46.7,6.0,11.0,11.2,10.6,5.6,8.9,0.0,0.0,55.5,44.5,28516.0,72.3,40.0,92.3,3.5,1.1,5.3,0.3,2.2,8.7
Northborough,4472,94.4,58.7,5150.0,2.9,114303.0,156624.0,1.7,3.3,2392.0,94.8,74.4,6.3,5.7,6.7,3.7,1.0,2.2,0.0,0.0,76.0,24.0,6298.0,88.7,44.6,90.5,1.7,0.4,8.4,0.0,1.5,3.2
Northfield,819,94.9,45.3,902.0,2.1,82000.0,96968.0,2.8,5.9,570.0,83.9,70.2,0.0,10.2,8.9,1.8,1.8,7.2,0.0,0.0,75.5,24.5,1032.0,84.0,51.6,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Norton Center,964,95.2,49.3,2650.0,6.8,120536.0,132970.0,0.0,16.9,437.0,100.0,77.1,10.1,0.0,6.4,6.4,0.0,0.0,0.0,0.0,91.1,8.9,2774.0,90.7,21.4,85.8,9.8,0.0,4.3,0.0,2.1,4.5
Norwood,21580,94.7,47.4,24183.0,3.0,90133.0,108643.0,6.5,8.1,12602.0,95.0,47.3,7.3,9.6,10.8,5.6,11.7,7.6,0.2,0.0,57.5,42.5,29306.0,89.1,40.8,85.7,8.0,0.6,5.8,0.1,1.5,6.8
Ocean Bluff-Brant Rock,3644,99.5,41.2,4397.0,5.4,83101.0,98164.0,1.9,6.8,2949.0,67.2,95.0,0.5,1.3,0.9,0.1,0.5,1.6,0.0,0.0,84.6,15.4,5199.0,88.7,47.9,98.8,1.8,0.0,0.5,0.0,0.0,1.4
Ocean Grove,2372,94.6,16.9,2688.0,10.5,67861.0,79090.0,2.6,12.4,1457.0,89.8,80.5,0.0,13.4,1.5,0.0,0.0,0.0,4.6,0.0,82.0,18.0,3092.0,106.8,45.7,96.2,0.2,0.0,2.7,0.0,1.7,1.0
Onset,654,88.4,19.0,724.0,20.8,42727.0,46268.0,46.5,26.7,1366.0,36.0,76.3,0.0,5.8,3.1,0.0,3.8,1.4,9.6,0.0,64.8,35.2,754.0,97.9,58.3,60.2,12.5,0.0,0.0,0.0,27.3,0.0
Orange,2748,92.2,16.1,3137.0,8.6,57547.0,67055.0,4.8,9.4,1706.0,90.9,57.9,0.6,20.7,12.3,5.9,0.9,0.0,1.6,0.0,68.5,31.5,3772.0,92.6,43.1,97.1,0.8,0.8,3.4,0.0,0.0,3.0
Orleans,1580,97.8,40.4,1636.0,4.8,54750.0,71199.0,8.4,10.4,1507.0,59.9,54.8,7.2,6.2,9.6,4.8,4.2,13.1,0.0,0.0,72.4,27.6,1798.0,77.5,61.9,86.4,11.5,0.0,0.0,2.1,2.1,3.5
Oxford,4004,92.7,25.7,4493.0,4.9,61227.0,77591.0,5.9,7.2,2403.0,92.5,69.5,0.6,11.9,14.2,1.9,1.3,0.6,0.0,0.0,74.3,25.7,5595.0,114.3,41.3,93.6,1.1,0.4,1.5,0.1,4.5,4.7
Palmer,8781,91.7,24.9,10332.0,6.4,64651.0,78561.0,7.9,11.3,5377.0,90.8,61.9,2.1,13.4,8.5,5.2,2.0,2.1,4.9,0.0,71.7,28.3,12237.0,91.6,42.6,94.2,6.1,1.8,2.4,0.0,1.8,4.5
Peabody,39396,90.1,34.0,44911.0,4.0,73217.0,94587.0,6.7,8.6,22538.0,96.3,51.1,4.8,7.2,9.6,4.4,5.5,14.5,2.7,0.1,65.8,34.2,52906.0,92.1,45.8,92.6,5.0,0.6,1.5,0.0,3.1,9.9
Pembroke,2408,98.1,47.8,2825.0,3.7,96866.0,109926.0,1.4,3.7,1379.0,97.20000000000002,69.2,4.1,0.0,0.0,7.5,3.8,15.400000000000002,0.0,0.0,69.4,30.6,3458.0,92.6,46.0,93.9,6.4,0.0,0.7,0.0,3.5,1.5
Pepperell,3394,94.781319976429,29.938479670005897,2016.9286977018266,4.87142015321155,78888.16440777843,92707.20565704184,8.41756040070713,11.387860931054801,1043.184443134944,93.4362993517973,57.19681791396582,9.530760164997051,6.612080141426047,10.504360636417207,5.234060106069535,4.140659988214496,6.365880966411314,0.4153800824985268,0.0,66.5792575132587,33.42074248674131,2413.301119622864,90.52527990571598,44.022038892162634,96.64395992928696,4.036240424278138,0.7186800235710076,1.3120801414260461,0.0,0.5406599882144961,3.6593400117855035
Petersham,202,98.0,45.5,238.0,0.0,66458.0,115142.0,0.0,4.3,120.0,84.2,86.7,0.0,2.5,10.8,0.0,0.0,0.0,0.0,0.0,76.2,23.8,259.0,89.1,51.4,98.8,5.0,0.0,0.0,0.0,0.0,8.5
Pinehurst,5229,91.8,33.0,5930.0,4.7,107159.0,124086.0,2.6,4.0,2536.0,96.0,89.8,3.3,6.2,0.0,0.4,0.4,0.0,0.0,0.0,92.9,7.1,7283.0,105.2,42.3,88.2,4.5,0.2,9.8,0.0,0.5,1.8
Pittsfield,31531,90.7,28.5,35757.0,5.7,51411.0,69764.0,10.6,13.4,21752.0,88.8,53.0,3.2,15.8,12.1,4.9,4.1,5.6,1.2,0.0,61.8,38.2,42766.0,90.0,44.4,90.6,7.9,0.7,2.4,0.1,2.5,6.8
Plymouth,8382,92.57081842042473,30.10462896683369,5083.679074206633,4.166547363397757,63157.41589119542,87898.84061083273,6.744834168456216,10.501240753996658,3081.7179670722976,88.19341445955618,39.41904080171796,10.582557862085421,16.408184204247195,11.624910522548317,6.480959198282032,7.957122405153902,7.491815795752803,0.0,0.0,50.60231448341684,49.39768551658315,6022.264614650441,83.65373419231686,43.343951324266285,93.10231448341685,4.633094726795515,0.810498687664042,1.033452636602243,0.0,3.4186828919112386,2.5249105225483177
Pocasset,2335,97.4,41.6,2677.0,2.5,61722.0,88787.0,2.7,5.0,2365.0,63.3,82.1,2.1,1.2,2.2,5.0,0.7,5.4,1.4,0.0,71.5,28.5,2893.0,104.2,60.0,99.1,0.3,0.0,0.0,0.0,0.6,0.9
Popponesset,112,100.0,68.8,141.0,0.0,-666666666.0,38569.0,47.2,44.0,451.0,15.5,93.6,0.0,0.0,6.4,0.0,0.0,0.0,0.0,0.0,85.7,14.3,150.0,154.2,62.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Popponesset Island,34,100.0,76.5,34.0,0.0,-666666666.0,-999999999.0,0.0,0.0,47.0,36.2,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,34.0,100.0,81.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Provincetown,2500,95.2,55.4,2585.0,7.1,58313.0,99872.0,3.9,10.3,4417.0,35.5,40.1,8.2,13.9,25.7,6.8,1.5,3.3,0.6,0.0,78.7,21.3,2730.0,133.1,57.0,94.7,4.0,0.8,3.5,0.3,1.6,4.5
Quincy,73038,88.2,45.1,82087.0,5.1,77562.0,94360.0,8.0,11.3,43736.0,94.2,33.0,4.8,12.8,11.2,5.5,5.0,27.5,0.1,0.1,46.2,53.8,94207.0,94.5,39.7,62.7,5.8,0.4,31.4,0.3,1.4,3.1
Randolph,23956,86.0,28.1,28213.0,6.5,82510.0,96069.0,7.6,8.6,12381.0,95.6,60.2,10.8,3.2,2.5,3.4,6.2,13.6,0.0,0.0,67.9,32.1,34064.0,92.8,40.7,34.7,47.5,0.7,13.2,0.0,7.1,8.8
Raynham,3414,95.5,41.4,3834.0,3.3,99760.0,103322.0,2.2,5.5,1828.0,96.9,72.7,0.0,3.6,0.0,2.7,2.9,18.1,0.0,0.0,73.3,26.7,4923.0,78.5,36.8,95.9,3.3,0.0,2.0,0.0,0.5,1.3
Reading,17828,97.5,64.4,19792.0,3.1,132731.0,147262.0,2.0,2.8,9419.0,97.6,73.5,3.4,3.6,2.9,2.4,4.1,10.1,0.0,0.0,84.1,15.9,25132.0,97.4,43.2,94.0,0.6,0.1,4.9,0.2,1.5,3.0
Revere,38991,84.0,22.9,43947.0,5.4,62568.0,81075.0,10.2,12.7,20559.0,93.5,28.8,5.5,25.6,12.4,4.1,2.5,20.1,1.0,0.0,49.9,50.1,53692.0,101.3,39.2,83.1,9.0,0.9,5.4,0.1,7.0,33.6
Rockport,4242,97.9,58.1,4640.0,3.7,81765.0,112663.0,5.4,5.8,3094.0,77.6,63.4,6.4,12.9,10.4,5.6,0.7,0.5,0.0,0.0,68.9,31.1,5260.0,73.4,56.7,99.5,0.1,0.2,1.1,0.0,0.4,1.0
Rowley,1216,100.0,45.3,1373.0,7.1,79554.0,121590.0,0.0,1.9,589.0,100.0,67.1,13.9,6.6,0.0,6.3,3.1,3.1,0.0,0.0,79.1,20.9,1629.0,86.8,50.7,95.0,0.0,0.0,4.7,0.0,0.9,3.1
Russell,386,97.2,20.7,446.0,7.0,49073.0,58851.0,11.1,8.9,256.0,96.5,66.8,0.0,7.4,6.3,5.5,0.0,0.0,14.1,0.0,85.0,15.0,526.0,76.5,45.3,95.8,8.2,1.0,0.0,0.0,0.0,10.8
Rutland,1737,98.6,34.4,1861.0,2.4,84833.0,94455.0,4.8,5.8,950.0,87.8,78.4,0.0,0.0,10.9,1.2,0.0,1.5,8.0,0.0,68.8,31.2,2360.0,124.5,41.1,97.7,0.0,0.0,2.3,0.0,0.0,2.7
Sagamore,2684,98.3,36.5,3128.0,3.4,91688.0,118016.0,3.9,4.6,1876.0,79.8,80.8,3.6,7.3,2.5,2.2,3.6,0.0,0.0,0.0,77.3,22.7,3675.0,92.6,46.0,93.3,3.2,0.0,3.3,0.0,2.9,2.7
Salisbury,4149,95.1,42.6,4458.0,4.0,78787.0,104478.0,4.0,5.6,3532.0,67.2,45.2,10.2,11.2,11.5,8.2,3.1,6.9,3.8,0.0,74.7,25.3,5131.0,111.3,48.0,99.2,1.3,0.9,0.3,0.4,0.3,4.0
Sandwich,4928,97.59040178571429,59.693831168831174,2880.447646103896,3.863271103896104,101094.09983766233,133199.86241883118,1.129383116883117,4.570028409090909,2110.210633116883,63.93104707792208,90.06278409090909,2.743486201298701,1.9412337662337662,0.631635551948052,0.5095982142857143,1.1536728896103896,3.0575892857142857,0.0,0.0,89.43624188311688,10.563758116883117,3254.799310064935,91.0932426948052,53.25651379870129,98.40734577922079,0.0,0.0,1.592654220779221,0.0,0.0,3.357589285714286
Saugus,21100,91.8,28.8,23897.0,5.0,88667.0,103270.0,7.1,9.8,11118.0,93.8,67.1,5.9,10.1,2.1,2.0,2.7,6.9,3.2,0.0,80.6,19.4,28215.0,96.0,47.1,92.4,2.5,0.4,4.9,0.0,1.5,8.6
Scituate,7717,96.33514319035895,57.37571595179474,4311.115200207334,3.1371906181158487,126104.41661267332,154831.161720876,3.1,4.249047557340936,2168.1666450693274,96.27247635091356,83.94085784631334,5.454904755734094,1.4824284048205263,3.386380717895555,2.851094985097836,1.1588570688091226,1.8254762213295324,0.0,0.0,85.56442918232473,14.435570817675261,5326.210444473241,89.33471556304264,48.94523778670468,98.1215239082545,0.5254762213295322,0.0,0.4960476869249709,0.0,2.031475962161462,0.38433329013865486
Seabrook,430,100.0,60.0,486.0,0.0,109000.0,128280.0,0.0,3.5,323.0,74.3,97.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,517.0,79.5,62.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Seconsett Island,40,100.0,22.5,40.0,0.0,-666666666.0,-999999999.0,0.0,0.0,77.0,24.7,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,40.0,90.5,37.9,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Seekonk,1900,90.9,31.4,1989.0,6.1,87700.0,88753.0,10.3,8.2,1088.0,91.4,86.6,3.1,1.3,2.3,0.0,0.0,1.5,5.2,0.0,83.4,16.6,2398.0,100.8,48.1,99.4,1.4,0.0,0.0,0.0,3.5,10.5
Sharon,3833,98.4,72.9,4443.0,4.5,144333.0,173768.0,0.0,2.0,2195.0,94.4,85.2,2.4,5.7,2.6,0.9,0.8,2.4,0.0,0.0,88.9,11.1,5914.0,98.1,40.7,88.2,1.4,0.5,10.3,0.0,1.5,2.8
Shelburne,1454,92.5,37.2,1532.0,8.5,44313.0,62189.0,11.6,15.2,1028.0,90.4,48.0,0.0,23.9,19.7,3.9,1.5,1.1,1.9,0.0,53.4,46.6,1806.0,88.7,52.70000000000001,90.40000000000002,2.9,0.0,7.7,0.0,0.0,0.9
Shirley,1583,98.3,15.6,1755.0,1.5,65507.0,75261.0,3.5,5.7,988.0,95.2,49.0,0.0,8.9,17.3,13.1,11.7,0.0,0.0,0.0,50.3,49.7,1861.0,109.8,58.1,97.0,2.1,1.3,4.7,0.0,0.0,0.0
Siasconset,67,100.0,55.2,81.0,0.0,64250.0,83251.0,0.0,11.8,1056.0,3.7,98.6,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,81.0,161.3,78.0,87.7,11.1,0.0,1.2,0.0,0.0,0.0
Smith Mills,3462,88.0,28.8,3854.0,4.6,70692.0,77661.0,9.1,11.7,2123.0,94.4,67.2,0.8,1.0,5.5,3.5,10.0,12.1,0.0,0.0,61.9,38.1,4678.0,89.9,46.2,97.4,1.9,0.1,2.0,0.0,0.5,0.1
Somerset,13739,90.9,27.5,15210.0,3.3,84115.0,101068.0,2.2,3.9,7332.0,94.9,82.2,1.4,7.7,4.9,0.6,0.9,2.3,0.0,0.0,80.0,20.0,18165.0,98.2,47.1,98.8,0.5,0.1,0.4,0.0,0.8,0.9
Somerville,59890,90.6,64.4,72357.0,3.3,97328.0,117141.0,8.2,11.5,34633.0,94.7,10.3,4.1,28.9,27.1,9.2,5.1,15.4,0.0,0.1,33.6,66.4,80906.0,98.3,31.3,79.7,8.6,0.8,11.6,0.1,3.8,12.4
South Ashburnham,699,94.1,23.7,742.0,5.6,79670.0,85017.0,0.0,0.0,330.0,100.0,90.9,4.5,0.0,0.0,0.0,0.0,4.5,0.0,0.0,95.5,4.5,924.0,92.9,44.4,100.0,0.0,0.0,0.0,0.0,0.0,3.5
South Lancaster,1352,86.6,47.5,1400.0,4.6,66786.0,78950.0,0.0,7.6,895.0,85.4,53.9,1.6,11.3,13.4,18.3,0.0,1.6,0.0,0.0,53.0,47.0,1630.0,98.3,56.6,92.6,1.1,0.0,7.2,0.0,0.0,13.6
Southbridge,11439,82.6,17.2,13614.0,8.8,51270.0,64448.0,16.7,20.7,7368.0,92.5,37.7,2.6,16.1,21.7,11.4,5.8,4.3,0.5,0.0,44.2,55.8,16887.0,95.5,39.3,86.2,5.3,1.6,0.5,0.1,10.9,32.9
Spencer,4365,87.5,9.6,5070.0,6.8,59331.0,69358.0,5.3,12.2,2871.0,86.4,37.4,0.7,20.5,23.1,13.1,0.6,3.8,0.8,0.0,49.3,50.7,5792.0,116.5,44.8,91.8,3.3,1.4,6.4,0.0,0.0,3.7
Stoneham,17675,95.4,46.3,19556.0,3.1,101549.0,120525.0,2.6,5.0,9921.0,97.4,55.6,1.5,6.7,7.0,3.0,6.6,19.5,0.1,0.0,65.4,34.6,23223.0,100.3,43.8,91.2,3.5,0.3,5.0,0.1,1.1,3.3
Sturbridge,1589,99.8,47.8,1778.0,0.0,102059.0,119174.0,3.2,5.0,919.0,95.5,72.0,0.0,6.6,5.4,0.0,10.2,1.2,4.5,0.0,83.9,16.1,2243.0,85.4,45.0,94.1,2.6,0.0,4.1,0.0,0.0,1.8
Swampscott,10709,97.4,57.3,12108.0,3.3,113407.0,144767.0,1.8,3.1,6073.0,95.2,58.7,5.4,11.7,9.6,2.5,0.2,11.1,1.0,0.0,77.1,22.9,15002.0,84.8,44.8,95.7,2.9,0.2,2.6,0.0,0.8,2.5
Taunton,39811,84.6,22.6,45772.0,6.5,62865.0,80085.0,10.8,14.2,23922.0,93.5,45.7,5.9,14.3,14.5,5.9,4.0,5.9,3.7,0.1,62.4,37.6,57124.0,91.3,39.6,83.5,11.1,0.7,2.3,0.2,6.5,9.0
Teaticket,1356,98.5,47.9,1480.0,3.7,64028.0,92758.0,1.7,6.4,1562.0,54.4,77.1,10.1,1.5,4.6,1.3,0.0,5.2,0.0,0.0,80.1,19.9,1697.0,104.0,56.9,96.7,5.0,0.0,0.8,0.0,0.4,5.4
The Pinehills,1391,98.8,69.8,1419.0,4.5,101518.0,146590.0,0.0,4.9,874.0,94.4,32.4,32.4,0.0,2.7,3.7,2.1,26.8,0.0,0.0,67.0,33.0,1419.0,67.1,68.9,94.5,0.0,0.0,5.5,0.0,0.0,0.0
Topsfield,2131,96.3,68.0,2407.0,6.0,135444.0,145419.0,6.6,7.8,1088.0,97.2,75.9,8.3,1.5,9.6,3.1,0.0,1.7,0.0,0.0,81.1,18.9,3216.0,99.9,43.2,99.8,0.0,0.5,1.2,0.0,0.0,2.5
Townsend,886,92.4,21.3,1007.0,3.1,72500.0,83552.0,0.0,5.8,572.0,95.5,70.6,2.1,0.0,5.6,3.1,0.0,18.5,0.0,0.0,71.2,28.8,1310.0,85.3,39.3,95.4,1.6,0.0,2.9,0.0,0.1,6.5
Turners Falls,3064,92.6,25.7,3438.0,4.7,38899.0,54757.0,9.1,12.7,2178.0,92.5,46.4,1.9,23.7,10.4,7.7,4.3,5.6,0.0,0.0,52.6,47.4,4010.0,82.4,46.3,90.6,3.1,5.3,0.4,0.0,5.0,8.3
Upton,1806,97.7,50.7,1927.0,4.9,89507.0,120387.0,0.0,2.6,1053.0,91.1,58.7,6.1,15.2,8.6,5.6,0.0,5.8,0.0,0.0,63.5,36.5,2292.0,137.0,47.9,97.9,2.4,0.0,0.0,0.0,0.7,7.9
Vineyard Haven,1594,93.0,38.1,1771.0,4.3,62521.0,95907.0,0.0,8.0,1691.0,56.5,91.8,0.0,4.6,2.1,1.5,0.0,0.0,0.0,0.0,59.7,40.3,2123.0,122.8,43.5,86.9,9.9,0.0,0.0,0.0,3.2,0.1
Wakefield,20100,94.5,51.2,22420.0,3.1,100278.0,129924.0,2.1,4.2,11137.0,96.3,58.8,4.5,13.2,7.2,3.5,2.1,10.6,0.0,0.1,74.5,25.5,26993.0,91.0,43.9,94.7,2.2,0.1,3.2,0.1,1.2,3.5
Walpole,4322,93.2,46.9,4760.0,2.9,94375.0,117674.0,2.0,4.2,2666.0,96.8,52.8,17.0,6.9,2.9,12.0,7.4,1.1,0.0,0.0,72.5,27.5,6197.0,102.4,41.2,85.7,1.5,0.7,5.4,0.0,7.3,10.5
Waltham,42824,92.0,54.2,55065.0,3.0,95964.0,115461.0,5.3,9.3,25136.0,94.2,35.8,5.6,13.4,14.2,10.0,8.7,12.1,0.3,0.0,51.7,48.3,62777.0,95.4,34.3,75.5,8.8,1.0,12.9,0.1,5.6,13.6
Ware,4287,88.2,22.0,4769.0,5.8,42550.0,56279.0,21.8,20.9,3130.0,85.3,42.8,8.6,13.5,13.6,9.2,7.3,2.2,2.8,0.0,50.7,49.3,5888.0,90.1,40.2,97.7,2.5,1.2,0.0,0.2,0.8,10.7
