municipality,KEY_population_25_and_older,edu_high_school_and_higher_%,edu_bachelors_and_higher_%,KEY_pop_16_+,unemployment_rate_%,median_household_income,mean_household_income,families_below_poverty_level_%,people_below_poverty_level_%,KEY_total_housing_units,occupancy_%,1-unit_detached_%,1-unit_attached_%,2-units_%,3-4_units_%,5-9_units_%,10-19_units_%,20+_units_%,mobile_home_%,boat_RV_van_%,owner-occupied_%,renter-occupied_%,KEY_total_population,males-to-100females,median_age,demo_white_%,demo_black_aa_%,demo_american_indian_%,demo_asian_%,demo_native_islander%,demo_other_Race_%,demo_hispanic_latino_%
Buzzards Bay,2556,95.1,36.2,3109.0,1.7,75142.0,116951.0,2.4,7.0,1882.0,77.0,84.8,4.4,2.8,2.8,2.4,0.0,2.9,0.0,0.0,70.6,29.4,3528.0,119.1,47.0,97.2,2.9,0.5,2.2,0.0,0.6,2.9
Cambridge,79240,95.5,79.0,103953.0,4.0,103154.0,139991.0,7.3,12.7,51882.0,90.3,8.7,5.8,12.6,17.2,10.6,7.5,37.6,0.1,0.0,34.8,65.2,116632.0,99.4,30.5,70.0,12.2,0.8,19.1,0.2,2.4,9.5
Chatham,2276,96.9408172231986,61.971748681898056,1221.439806678383,2.9632688927943764,80698.31546572935,109966.23681898067,8.40360281195079,12.114279437609841,2132.761423550088,33.60927065026362,86.75729349736379,2.99780316344464,2.726845342706503,3.153690685413005,1.9849297012302285,1.7665641476274165,0.569859402460457,0.0,0.0,78.75698594024604,21.243014059753953,1310.1414762741651,85.392618629174,64.90518453427066,99.4408172231986,0.559182776801406,1.5161687170474518,0.0,0.0,0.0,0.0
Chelsea,26254,68.9,18.5,30630.0,4.7,56802.0,71040.0,15.8,18.1,13907.0,95.4,6.6,4.9,21.2,27.1,9.2,6.0,24.5,0.3,0.2,25.9,74.1,39992.0,106.9,33.3,80.8,38.0,0.4,4.5,0.0,9.3,67.0
Cheshire,367,94.0,37.6,488.0,4.1,79107.0,86974.0,0.0,0.0,299.0,72.2,57.9,0.0,7.4,4.0,0.0,0.0,0.0,30.8,0.0,76.4,23.6,539.0,100.4,51.8,100.0,0.0,1.5,0.0,0.0,0.0,0.0
Chicopee,38925,86.1,20.0,45709.0,5.9,53225.0,66591.0,10.9,13.8,24797.0,93.1,47.9,5.5,13.3,12.7,8.0,3.2,6.7,2.7,0.0,58.6,41.4,55421.0,93.7,39.7,87.7,6.0,0.4,2.8,0.1,5.2,21.0
Clinton,4957,86.7,25.6,5904.0,4.4,53972.0,70416.0,7.5,11.0,3267.0,88.6,32.8,6.1,18.2,22.3,9.5,3.1,7.3,0.9,0.0,44.8,55.2,7154.0,102.8,36.2,88.0,5.7,0.0,0.3,0.0,6.8,22.9
Cochituate,4831,97.4,76.4,5593.0,1.9,162390.0,208802.0,1.0,1.9,2610.0,93.0,82.3,5.5,3.3,1.1,0.0,2.3,3.1,2.5,0.0,89.4,10.6,7226.0,110.9,42.7,88.5,0.7,0.2,13.3,0.0,0.6,5.9
Concord,5503,93.0,63.3,6058.0,3.7,114440.0,143008.0,0.5,5.0,2888.0,90.2,45.2,9.2,2.3,8.8,7.1,2.7,24.6,0.0,0.0,59.2,40.8,7394.0,120.6,41.9,80.8,10.9,1.3,4.6,0.0,7.0,15.0
Cordaville,1877,97.4,67.2,2208.0,3.3,167635.0,194147.0,1.0,1.1,971.0,100.0,97.3,1.8,0.9,0.0,0.0,0.0,0.0,0.0,0.0,93.0,7.0,3039.0,88.6,39.7,83.9,1.0,0.3,17.6,0.0,0.0,0.4
